product_id,category,review_count,average_rating,positive_pct,negative_pct,fake_rate,verified_pct,helpful_ratio
P000873,Automotive,26,4.31,0.9231,0.0769,0.0385,0.7308,0.8083
P002733,Books,21,4.05,0.7143,0.0,0.0476,0.7619,0.7949
P002589,Home & Kitchen,17,3.88,0.7647,0.0588,0.0588,0.5882,0.8177
P001303,Beauty,24,4.0,0.75,0.0833,0.1667,0.6667,0.8734
P002439,Home & Kitchen,27,4.07,0.8148,0.0741,0.2222,0.8148,0.7409
P003020,Clothing,9,3.89,0.6667,0.1111,0.0,0.7778,0.6859
P002187,Toys & Games,30,2.73,0.2,0.4667,0.0667,0.7333,0.7385
P001124,Electronics,24,3.46,0.4583,0.0833,0.0417,0.6667,0.6571
P004771,Sports & Outdoors,25,4.28,0.84,0.04,0.12,0.6,0.7602
P004017,Clothing,30,4.23,0.8667,0.0,0.0,0.7333,0.8132
P001073,Home & Kitchen,19,3.42,0.3684,0.1053,0.2632,0.7895,0.7231
P002392,Beauty,13,3.77,0.6154,0.0769,0.0,0.6923,0.6168
P001899,Electronics,16,3.5,0.5625,0.125,0.0625,0.75,0.8008
P004982,Clothing,17,4.18,0.8235,0.0,0.1176,0.7059,0.9223
P003609,Clothing,28,3.75,0.6071,0.0357,0.0,0.75,0.8354
P003250,Home & Kitchen,17,2.88,0.1765,0.3529,0.0588,0.7059,0.7758
P000746,Books,6,2.67,0.1667,0.3333,0.1667,0.8333,0.7315
P000961,Books,18,1.67,0.0556,0.8889,0.0,0.7222,0.9287
P004661,Beauty,21,3.9,0.7619,0.0952,0.0476,0.8095,0.7431
P002258,Toys & Games,32,3.5,0.625,0.1875,0.0938,0.7812,0.8346
P000072,Home & Kitchen,7,4.43,0.8571,0.0,0.0,0.7143,0.6279
P002491,Food & Grocery,16,3.88,0.6875,0.0,0.0,0.5625,0.7856
P003092,Food & Grocery,21,2.81,0.2381,0.4286,0.0952,0.8571,0.8989
P001448,Books,20,2.5,0.1,0.5,0.05,0.55,0.7259
P002139,Toys & Games,32,4.12,0.8125,0.0625,0.0,0.75,0.7518
P001379,Sports & Outdoors,31,4.19,0.8065,0.0645,0.0323,0.6774,0.845
P002225,Health,19,4.53,0.8947,0.0526,0.1053,0.8947,0.8234
P004922,Electronics,37,3.57,0.4595,0.0811,0.027,0.7838,0.8092
P002305,Home & Kitchen,25,3.68,0.64,0.08,0.0,0.72,0.7756
P004035,Electronics,34,2.59,0.1765,0.4706,0.0294,0.7941,0.808
P000651,Home & Kitchen,24,1.25,0.0,1.0,0.0,0.5833,0.8816
P003956,Sports & Outdoors,14,4.14,0.8571,0.0,0.1429,0.6429,0.831
P002540,Books,13,1.69,0.0,0.8462,0.0,0.7692,0.8455
P001838,Home & Kitchen,29,4.52,0.8966,0.0,0.0345,0.8276,0.7858
P002881,Electronics,22,4.59,0.9091,0.0,0.0909,0.5909,0.7409
