product_id,category,price_usd,true_quality,seller_id,is_prime,num_images,bullet_points,has_video,brand_tier,days_on_platform,total_reviews,avg_rating
P000001,Toys & Games,16.55,4.07,S0157,0,4,4,0,premium,655,37,4.31
P000002,Home & Kitchen,39.75,4.61,S0479,1,0,7,0,mid,1589,124,4.2
P000003,Health,44.74,4.53,S0113,1,4,5,0,mid,905,18,3.82
P000004,Beauty,19.21,3.75,S0176,0,3,6,0,mid,1682,72,3.29
P000005,Electronics,156.54,4.32,S0440,1,5,3,0,mid,281,25,3.79
P000006,Automotive,97.74,3.2,S0174,1,3,6,1,premium,1794,182,2.68
P000007,Toys & Games,25.96,1.98,S0380,1,1,5,1,mid,1584,6,2.0
P000008,Toys & Games,36.65,4.48,S0046,0,1,7,0,budget,722,158,3.49
P000009,Electronics,481.06,3.29,S0478,0,4,3,0,mid,1025,17,3.04
P000010,Home & Kitchen,49.61,4.74,S0309,1,7,4,1,budget,255,417,4.65
P000011,Home & Kitchen,111.6,2.0,S0376,1,3,7,0,mid,308,55,2.17
P000012,Food & Grocery,30.77,2.44,S0014,0,1,5,1,premium,698,91,2.5
P000013,Sports & Outdoors,26.95,3.51,S0483,1,6,5,0,premium,609,27,2.96
P000014,Toys & Games,16.52,3.02,S0249,1,2,5,0,mid,1066,74,3.16
P000015,Home & Kitchen,33.35,3.82,S0106,1,3,4,0,budget,1630,74,3.55
P000016,Clothing,26.94,3.14,S0077,0,6,7,1,mid,106,27,3.25
P000017,Books,17.05,2.66,S0044,1,0,5,1,budget,1512,82,2.72
P000018,Electronics,267.51,1.39,S0337,1,1,3,1,premium,515,0,1.35
P000019,Toys & Games,67.95,2.98,S0107,1,1,4,0,budget,1183,15,2.61
P000020,Sports & Outdoors,78.2,1.25,S0465,1,3,7,0,premium,1697,33,1.83
P000021,Beauty,21.43,3.27,S0114,0,6,5,1,mid,1328,60,2.41
P000022,Home & Kitchen,15.77,4.0,S0045,0,5,6,0,mid,108,106,3.55
P000023,Automotive,78.24,4.12,S0427,0,6,3,0,premium,1079,24,3.29
P000024,Health,38.59,4.22,S0389,1,2,3,1,mid,297,20,3.83
P000025,Toys & Games,35.71,3.72,S0260,1,3,4,0,mid,479,94,3.46
P000026,Clothing,159.24,4.51,S0416,1,3,5,0,budget,1058,131,3.87
P000027,Home & Kitchen,115.78,2.35,S0363,1,0,6,0,budget,1061,80,1.94
P000028,Electronics,296.31,3.52,S0089,0,4,3,0,mid,1725,27,2.77
P000029,Electronics,103.87,4.2,S0208,1,2,7,0,mid,532,705,3.92
P000030,Beauty,20.58,3.42,S0462,0,7,6,1,mid,1694,36,2.94
P000031,Beauty,26.45,3.99,S0340,1,5,4,0,mid,801,42,3.72
P000032,Automotive,47.1,4.38,S0311,1,6,5,0,budget,485,234,3.78
P000033,Clothing,60.76,3.03,S0089,1,1,5,0,mid,1132,207,2.8
P000034,Home & Kitchen,68.13,1.91,S0268,1,0,6,0,premium,1116,77,1.94
P000035,Home & Kitchen,28.63,4.36,S0083,1,3,3,0,premium,1619,11,4.07
P000036,Clothing,92.27,4.5,S0336,1,4,5,0,budget,1738,37,4.11
P000037,Electronics,196.71,3.58,S0112,0,4,5,0,budget,1206,61,3.19
P000038,Home & Kitchen,19.49,4.29,S0145,1,5,6,0,budget,1144,344,4.0
P000039,Clothing,43.63,3.04,S0287,1,6,4,1,premium,538,1141,2.56
P000040,Sports & Outdoors,76.95,4.36,S0013,1,2,4,0,mid,422,16,3.87
P000041,Home & Kitchen,98.59,3.99,S0350,1,2,7,0,premium,1081,92,3.69
P000042,Toys & Games,26.13,3.84,S0222,0,2,7,1,premium,1257,12,3.92
P000043,Beauty,46.02,2.67,S0257,1,2,7,0,budget,681,28,2.22
P000044,Clothing,50.35,3.38,S0372,0,4,7,0,mid,934,11,2.78
P000045,Toys & Games,14.54,2.17,S0386,0,6,3,0,mid,1047,245,2.04
P000046,Toys & Games,13.69,3.95,S0460,1,3,6,0,mid,903,44,3.92
P000047,Home & Kitchen,107.86,4.88,S0090,1,3,6,0,premium,111,47,4.64
P000048,Clothing,92.23,2.27,S0216,1,7,4,0,budget,894,35,2.05
P000049,Beauty,33.99,1.45,S0048,1,2,5,0,mid,408,52,1.67
P000050,Electronics,453.86,4.74,S0132,1,1,7,0,budget,229,54,3.72
P000051,Clothing,84.83,1.0,S0276,0,2,3,0,mid,859,14,1.2
P000052,Electronics,278.81,3.9,S0066,0,0,7,0,budget,1427,4,3.42
P000053,Toys & Games,18.52,4.74,S0223,1,2,4,0,mid,1440,6,4.45
P000054,Sports & Outdoors,183.69,4.3,S0468,0,7,7,1,mid,644,4,4.17
P000055,Beauty,38.63,4.0,S0036,0,6,5,0,mid,1035,41,3.66
P000056,Toys & Games,25.39,3.98,S0116,1,7,3,0,premium,357,12,3.6
P000057,Home & Kitchen,36.83,4.21,S0142,1,2,3,1,mid,526,107,3.67
P000058,Books,21.0,4.47,S0456,1,3,7,0,budget,810,44,4.53
P000059,Electronics,67.88,2.37,S0368,1,6,6,0,mid,720,3,2.24
P000060,Electronics,281.51,3.76,S0092,1,6,4,0,budget,1168,20,3.45
P000061,Sports & Outdoors,36.68,3.74,S0351,1,1,6,0,budget,1349,2,3.82
P000062,Home & Kitchen,68.7,4.1,S0010,0,6,5,1,budget,1009,8,3.54
P000063,Books,13.16,4.67,S0400,1,0,3,0,budget,81,18,4.13
P000064,Toys & Games,27.31,3.01,S0113,0,2,6,0,premium,1479,10,2.99
P000065,Sports & Outdoors,41.27,4.43,S0356,1,4,3,1,premium,835,317,4.52
P000066,Books,16.34,3.91,S0247,1,5,5,0,budget,1522,81,3.53
P000067,Books,55.92,3.18,S0367,1,6,3,0,mid,514,22,2.98
P000068,Clothing,103.31,3.95,S0175,1,5,4,0,budget,1128,183,3.08
P000069,Electronics,228.84,4.24,S0266,1,2,7,0,mid,463,10,4.2
P000070,Home & Kitchen,54.17,3.58,S0454,1,2,5,1,budget,1006,22,2.9
P000071,Clothing,74.68,3.9,S0402,1,5,6,0,budget,1511,92,3.35
P000072,Home & Kitchen,108.34,4.42,S0273,1,7,4,0,mid,1033,8,4.03
P000073,Health,23.1,3.6,S0462,1,6,3,0,mid,1796,75,3.05
P000074,Clothing,42.96,3.85,S0059,1,7,6,0,mid,725,47,2.88
P000075,Electronics,62.0,4.21,S0351,1,5,4,1,premium,254,67,3.42
P000076,Clothing,88.28,2.8,S0313,1,3,3,0,budget,860,286,2.55
P000077,Clothing,155.35,2.93,S0129,1,6,5,1,mid,1504,57,3.09
P000078,Sports & Outdoors,68.2,4.15,S0195,1,0,5,0,budget,962,38,4.16
P000079,Books,5.03,3.02,S0203,1,7,3,0,budget,1112,5,2.83
P000080,Toys & Games,46.11,4.26,S0340,0,7,5,0,budget,1447,42,3.88
P000081,Sports & Outdoors,37.79,4.27,S0313,0,4,5,0,budget,494,18,4.08
P000082,Home & Kitchen,36.94,2.34,S0394,1,4,7,1,mid,1350,28,2.5
P000083,Toys & Games,46.6,2.91,S0329,1,4,3,0,mid,1718,18,2.65
P000084,Electronics,215.53,4.31,S0493,0,1,5,1,mid,376,59,3.92
P000085,Electronics,138.03,2.36,S0415,1,1,6,0,budget,357,10,2.19
P000086,Electronics,125.29,4.69,S0289,1,5,5,1,budget,1760,42,4.52
P000087,Beauty,30.2,3.75,S0010,0,0,4,1,mid,1750,9,2.96
P000088,Home & Kitchen,43.02,3.33,S0184,1,5,7,0,budget,1738,3,3.0
P000089,Electronics,95.09,2.73,S0064,1,2,4,0,budget,1547,21,2.58
P000090,Books,14.74,2.96,S0217,1,1,7,1,budget,524,57,2.1
P000091,Electronics,226.81,2.27,S0497,1,4,7,0,premium,1022,13,2.32
P000092,Beauty,25.16,4.1,S0202,1,2,6,1,mid,1797,39,4.01
P000093,Home & Kitchen,23.55,4.89,S0409,1,3,6,0,budget,1273,21,3.82
P000094,Home & Kitchen,99.56,3.13,S0226,0,6,5,0,mid,959,9,2.69
P000095,Clothing,8.7,2.71,S0289,1,5,6,1,premium,1106,64,2.32
P000096,Sports & Outdoors,49.73,2.44,S0016,1,7,4,0,budget,431,15,1.93
P000097,Home & Kitchen,37.91,2.81,S0344,1,3,3,1,budget,651,51,2.3
P000098,Electronics,202.2,3.11,S0124,0,3,6,0,premium,1305,5,2.64
P000099,Electronics,259.14,3.42,S0231,1,5,7,0,premium,1736,39,3.26
P000100,Automotive,147.46,2.57,S0494,1,1,7,0,mid,114,70,2.69
P000101,Health,24.78,4.52,S0112,1,6,6,1,budget,763,50,4.23
P000102,Beauty,39.81,3.84,S0465,1,2,7,0,budget,1247,96,3.18
P000103,Clothing,50.61,2.35,S0415,1,3,5,0,premium,852,71,2.35
P000104,Automotive,26.86,4.3,S0025,1,4,3,0,mid,1507,47,4.05
P000105,Toys & Games,100.09,3.22,S0185,0,0,4,0,mid,1172,91,2.02
P000106,Beauty,11.81,4.03,S0490,0,2,4,0,budget,650,21,4.0
P000107,Home & Kitchen,70.74,2.7,S0228,1,1,7,0,budget,1383,61,2.47
P000108,Clothing,56.86,3.25,S0396,0,4,7,0,mid,622,33,2.98
P000109,Electronics,218.27,4.47,S0460,0,5,6,0,mid,760,305,3.5
P000110,Health,28.24,3.81,S0002,1,0,7,0,mid,512,45,3.91
P000111,Home & Kitchen,90.35,2.11,S0366,1,0,4,0,mid,1797,7,2.0
P000112,Clothing,17.64,3.97,S0457,1,6,6,1,mid,751,44,3.81
P000113,Clothing,43.26,3.29,S0289,1,2,3,1,mid,1718,10,2.56
P000114,Books,12.83,4.51,S0481,0,6,3,0,budget,1044,79,4.21
P000115,Electronics,123.22,4.16,S0350,1,5,6,0,premium,251,81,3.9
P000116,Health,49.15,4.23,S0315,1,6,6,0,budget,1378,15,3.76
P000117,Beauty,53.45,2.99,S0062,1,3,5,0,mid,375,9,2.3
P000118,Beauty,22.79,4.31,S0395,1,2,5,1,budget,1599,38,3.86
P000119,Home & Kitchen,87.86,1.78,S0428,0,5,6,1,mid,1737,11,1.32
P000120,Sports & Outdoors,66.97,4.58,S0167,1,5,4,0,mid,1000,12,3.91
P000121,Sports & Outdoors,38.04,2.52,S0080,1,4,4,0,budget,735,18,2.62
P000122,Sports & Outdoors,55.68,3.38,S0287,0,2,4,0,mid,870,70,3.07
P000123,Electronics,154.57,2.96,S0470,0,4,4,0,mid,1402,5,2.64
P000124,Home & Kitchen,36.21,4.01,S0366,1,3,4,0,mid,693,13,3.26
P000125,Electronics,239.23,1.32,S0406,1,7,3,0,budget,119,589,1.17
P000126,Books,20.72,3.14,S0281,0,5,5,0,budget,1083,345,2.78
P000127,Clothing,17.33,1.32,S0209,1,3,5,0,premium,1338,141,1.0
P000128,Electronics,68.68,4.61,S0153,0,6,3,0,budget,286,34,4.47
P000129,Electronics,238.69,3.08,S0404,0,0,7,0,mid,666,81,3.08
