period,review_count,avg_rating,pct_positive,pct_negative,pct_fake,avg_review_length,pct_verified,avg_helpful_ratio,rating_mom_change
2020-01,562,3.477,0.536,0.224,0.0516,65.1,0.735,0.815,
2020-02,478,3.619,0.579,0.176,0.0586,70.1,0.741,0.802,0.142
2020-03,551,3.488,0.537,0.205,0.0563,68.9,0.735,0.805,-0.131
2020-04,523,3.522,0.543,0.191,0.0612,69.4,0.734,0.809,0.034
2020-05,611,3.628,0.573,0.169,0.0507,65.1,0.759,0.785,0.106
2020-06,635,3.572,0.567,0.203,0.0835,65.5,0.728,0.813,-0.056
2020-07,636,3.541,0.555,0.198,0.0582,66.8,0.763,0.808,-0.031
2020-08,693,3.531,0.579,0.219,0.062,68.3,0.749,0.79,-0.01
2020-09,681,3.623,0.598,0.189,0.047,70.4,0.731,0.795,0.092
2020-10,733,3.529,0.551,0.205,0.0573,68.3,0.759,0.797,-0.094
2020-11,708,3.629,0.599,0.178,0.0621,64.6,0.757,0.804,0.1
2020-12,816,3.581,0.566,0.183,0.0674,69.6,0.761,0.803,-0.048
2021-01,776,3.478,0.534,0.218,0.0515,67.0,0.736,0.797,-0.103
2021-02,808,3.537,0.557,0.202,0.0705,68.3,0.745,0.81,0.059
2021-03,856,3.511,0.539,0.2,0.0572,68.7,0.738,0.822,-0.026
2021-04,861,3.564,0.567,0.197,0.0546,68.0,0.728,0.782,0.053
2021-05,901,3.587,0.574,0.196,0.0688,69.2,0.727,0.792,0.023
2021-06,965,3.564,0.561,0.188,0.0549,69.3,0.741,0.819,-0.023
2021-07,985,3.551,0.558,0.187,0.0589,68.6,0.735,0.806,-0.013
2021-08,1064,3.586,0.564,0.186,0.0592,67.7,0.752,0.812,0.035
2021-09,1020,3.647,0.586,0.169,0.0657,69.6,0.739,0.806,0.061
2021-10,1129,3.584,0.572,0.19,0.0629,68.0,0.74,0.8,-0.063
2021-11,1128,3.519,0.562,0.215,0.0621,67.6,0.762,0.803,-0.065
2021-12,1139,3.591,0.574,0.184,0.0527,67.1,0.741,0.802,0.072
2022-01,1276,3.499,0.546,0.204,0.0509,67.4,0.744,0.807,-0.092
2022-02,1134,3.579,0.563,0.19,0.06,67.5,0.743,0.79,0.08
2022-03,1301,3.515,0.549,0.2,0.0615,66.5,0.748,0.799,-0.064
2022-04,1294,3.587,0.583,0.191,0.0603,68.6,0.755,0.801,0.072
2022-05,1402,3.6,0.563,0.179,0.0692,67.6,0.757,0.799,0.013
2022-06,1362,3.521,0.561,0.203,0.0514,66.1,0.759,0.81,-0.079
2022-07,1467,3.577,0.581,0.186,0.0613,67.2,0.755,0.814,0.056
2022-08,1514,3.591,0.573,0.185,0.0561,68.8,0.73,0.796,0.014
2022-09,1469,3.565,0.569,0.201,0.0599,69.2,0.746,0.813,-0.026
2022-10,1648,3.576,0.585,0.2,0.0546,68.4,0.738,0.79,0.011
2022-11,1584,3.546,0.559,0.192,0.0524,67.8,0.748,0.815,-0.03
2022-12,1723,3.53,0.563,0.202,0.0621,67.2,0.743,0.793,-0.016
2023-01,1811,3.645,0.599,0.181,0.0696,67.3,0.733,0.794,0.115
2023-02,1720,3.563,0.578,0.198,0.0669,68.4,0.74,0.806,-0.082
2023-03,1839,3.565,0.56,0.19,0.0647,66.9,0.744,0.801,0.002
2023-04,1951,3.559,0.557,0.201,0.063,67.6,0.75,0.792,-0.006
2023-05,2065,3.5,0.554,0.217,0.0562,69.9,0.735,0.809,-0.059
2023-06,2002,3.564,0.571,0.19,0.0589,68.1,0.744,0.803,0.064
2023-07,2156,3.587,0.574,0.186,0.0622,67.0,0.756,0.809,0.023
2023-08,2208,3.546,0.566,0.207,0.0666,65.8,0.729,0.798,-0.041
2023-09,2192,3.552,0.573,0.205,0.0529,68.9,0.756,0.794,0.006
2023-10,2433,3.594,0.58,0.187,0.0588,67.8,0.73,0.796,0.042
2023-11,2395,3.563,0.574,0.199,0.0534,68.7,0.742,0.798,-0.031
2023-12,2491,3.59,0.587,0.19,0.0638,68.3,0.717,0.803,0.027
2024-01,2787,3.572,0.571,0.183,0.0563,67.9,0.738,0.805,-0.018
2024-02,2577,3.582,0.581,0.194,0.0528,69.4,0.741,0.796,0.01
2024-03,2810,3.552,0.57,0.209,0.0612,68.0,0.736,0.804,-0.03
2024-04,2847,3.575,0.571,0.186,0.0499,66.4,0.731,0.801,0.023
2024-05,3113,3.564,0.575,0.195,0.0678,68.5,0.732,0.795,-0.011
2024-06,3048,3.557,0.56,0.196,0.0571,67.5,0.745,0.811,-0.007
2024-07,3281,3.568,0.57,0.199,0.0607,67.8,0.748,0.805,0.011
2024-08,3346,3.573,0.578,0.197,0.0646,69.0,0.753,0.803,0.005
2024-09,3325,3.579,0.572,0.195,0.055,68.3,0.725,0.801,0.006
2024-10,3693,3.588,0.58,0.189,0.0528,69.2,0.751,0.806,0.009
2024-11,3630,3.557,0.567,0.197,0.0579,67.7,0.735,0.81,-0.031
2024-12,3847,3.567,0.565,0.194,0.0535,66.5,0.747,0.798,0.01
