review_id,product_id,user_id,review_date,year,month,star_rating,sentiment,verified_purchase,is_fake_review,review_length_words,has_title,title_word_count,num_images_attached,helpful_votes,total_votes,helpful_ratio,days_since_purchase,reviewer_review_count,is_top_reviewer,is_early_review,exclamation_marks,all_caps_ratio,readability_score,category,price_usd,price_tier,brand_tier,seller_id,seller_fake_rate,sentiment_score,quality_aspect,shipping_aspect,value_aspect,service_aspect,emotion
R00000001,P000873,U009862,2024-01-21,2024,1,5,positive,1,0,34,1,3,0,18,19,0.947,7,38,1,0,1,0.001,49.2,Automotive,91.13,mid,mid,S0173,0.0078,1.0,positive,positive,positive,neutral,delight
R00000002,P002733,U037196,2024-10-07,2024,10,4,positive,1,0,62,1,11,0,1,2,0.5,7,6,0,0,0,0.073,81.4,Books,14.12,budget,premium,S0122,0.0627,0.701,neutral,neutral,positive,positive,satisfaction
R00000003,P002589,U034741,2024-03-01,2024,3,5,positive,1,0,104,0,0,0,2,2,1.0,21,38,1,0,1,0.015,68.2,Home & Kitchen,91.03,mid,budget,S0453,0.0417,1.0,positive,positive,positive,positive,satisfaction
R00000004,P001303,U037748,2024-03-23,2024,3,5,positive,1,0,92,1,10,0,32,41,0.78,30,42,1,0,2,0.078,97.5,Beauty,46.51,low,mid,S0108,0.0436,0.96,positive,positive,positive,positive,satisfaction
R00000005,P002439,U035906,2022-01-28,2022,1,3,neutral,1,1,110,1,6,5,8,12,0.667,15,44,1,0,6,0.323,41.4,Home & Kitchen,49.67,low,premium,S0382,0.0729,0.031,neutral,neutral,negative,positive,neutral
R00000006,P003020,U016482,2022-09-19,2022,9,5,positive,1,0,183,1,9,0,16,21,0.762,7,43,1,0,2,0.021,79.6,Clothing,39.54,low,budget,S0336,0.0756,0.909,positive,positive,positive,positive,satisfaction
R00000007,P002187,U015635,2022-08-24,2022,8,2,negative,0,0,70,1,5,0,2,2,1.0,4,15,0,0,0,0.031,49.7,Toys & Games,41.63,low,mid,S0269,0.0769,-0.331,neutral,neutral,negative,negative,disappointment
R00000008,P001124,U035121,2023-12-18,2023,12,5,positive,1,0,43,1,7,4,0,0,0.0,15,45,1,0,0,0.029,52.7,Electronics,310.69,premium,budget,S0048,0.0576,1.0,positive,positive,positive,positive,satisfaction
R00000009,P004771,U004170,2021-11-05,2021,11,5,positive,0,0,47,0,0,0,4,5,0.8,37,1,0,0,0,0.069,73.4,Sports & Outdoors,90.28,mid,mid,S0402,0.0676,0.874,positive,positive,positive,positive,satisfaction
R00000010,P004017,U031903,2021-11-21,2021,11,4,positive,0,0,80,1,10,0,6,7,0.857,8,18,0,0,0,0.038,55.3,Clothing,96.38,mid,premium,S0115,0.1019,0.56,positive,positive,neutral,positive,neutral
R00000011,P001073,U029503,2024-03-05,2024,3,3,neutral,1,0,78,1,6,5,6,6,1.0,43,24,0,0,0,0.074,65.4,Home & Kitchen,83.48,mid,premium,S0344,0.0784,0.02,neutral,neutral,negative,negative,neutral
R00000012,P002392,U030846,2020-09-23,2020,9,5,positive,1,0,48,1,9,0,8,9,0.889,12,45,1,0,2,0.058,52.9,Beauty,39.33,low,mid,S0211,0.0758,0.848,positive,neutral,positive,positive,delight
R00000013,P001899,U007787,2022-02-09,2022,2,4,positive,1,0,196,1,9,0,22,24,0.917,5,46,1,0,0,0.027,74.9,Electronics,174.77,high,budget,S0092,0.0578,0.336,neutral,positive,neutral,positive,satisfaction
R00000014,P004982,U030422,2021-07-17,2021,7,5,positive,0,0,274,1,11,0,2,2,1.0,21,31,1,0,1,0.063,86.7,Clothing,49.27,low,premium,S0331,0.0292,1.0,positive,positive,positive,positive,satisfaction
R00000015,P003609,U021562,2024-06-17,2024,6,4,positive,1,0,44,1,7,3,4,5,0.8,15,34,1,0,0,0.077,88.5,Clothing,36.47,low,budget,S0291,0.0349,0.508,positive,neutral,positive,positive,neutral
R00000016,P003250,U004133,2022-02-10,2022,2,2,negative,1,0,39,1,4,2,7,10,0.7,20,17,0,0,0,0.078,65.8,Home & Kitchen,92.15,mid,premium,S0337,0.0632,-0.486,neutral,neutral,neutral,neutral,frustration
R00000017,P000746,U003189,2023-11-14,2023,11,1,negative,0,0,72,1,9,0,0,0,0.0,6,15,0,0,0,0.061,79.7,Books,13.46,budget,mid,S0319,0.0471,-1.0,negative,negative,neutral,negative,frustration
R00000018,P000961,U014669,2022-03-08,2022,3,1,negative,0,0,46,1,4,5,15,15,1.0,116,18,0,0,0,0.012,75.6,Books,7.65,budget,premium,S0231,0.0407,-0.925,negative,neutral,negative,negative,frustration
R00000019,P004661,U032707,2023-11-27,2023,11,4,positive,1,0,72,1,9,0,1,1,1.0,8,22,0,0,0,0.064,64.3,Beauty,35.68,low,mid,S0180,0.0814,0.536,neutral,positive,neutral,neutral,mild_joy
R00000020,P002258,U032600,2023-02-06,2023,2,5,positive,0,0,53,0,0,0,2,2,1.0,21,44,1,0,0,0.066,89.9,Toys & Games,20.15,low,mid,S0336,0.0756,1.0,positive,positive,positive,positive,satisfaction
R00000021,P000072,U025527,2023-06-22,2023,6,5,positive,0,0,49,1,8,0,37,42,0.881,6,38,1,0,1,0.058,97.4,Home & Kitchen,108.34,high,mid,S0273,0.0409,1.0,positive,positive,positive,positive,delight
R00000022,P002491,U018168,2023-04-03,2023,4,4,positive,0,0,83,1,5,0,31,35,0.886,44,21,0,0,0,0.017,53.3,Food & Grocery,32.45,low,budget,S0426,0.0256,0.542,positive,neutral,neutral,positive,satisfaction
R00000023,P003092,U025537,2023-05-30,2023,5,2,negative,0,0,78,1,8,0,1,1,1.0,7,26,1,0,0,0.027,59.1,Food & Grocery,23.02,low,premium,S0334,0.0351,-0.549,neutral,neutral,negative,negative,disappointment
R00000024,P001448,U016912,2022-08-22,2022,8,3,neutral,1,0,43,1,5,3,12,13,0.923,13,1,0,0,0,0.068,64.9,Books,16.73,budget,premium,S0289,0.0497,0.075,neutral,neutral,neutral,negative,neutral
R00000025,P002139,U025360,2024-12-03,2024,12,4,positive,0,0,9,1,10,0,48,56,0.857,75,36,1,0,0,0.033,98.6,Toys & Games,42.89,low,mid,S0449,0.0656,0.475,positive,neutral,neutral,neutral,mild_joy
R00000026,P001379,U024187,2023-07-10,2023,7,5,positive,1,0,93,0,0,0,1,1,1.0,1,12,0,0,2,0.035,62.0,Sports & Outdoors,65.48,mid,premium,S0493,0.0575,0.873,positive,positive,positive,positive,satisfaction
R00000027,P002225,U017173,2022-12-02,2022,12,1,negative,1,0,40,1,5,0,1,1,1.0,10,6,0,0,0,0.031,64.1,Health,70.56,mid,mid,S0074,0.0495,-1.0,neutral,neutral,negative,negative,frustration
R00000028,P004922,U017762,2021-04-05,2021,4,4,positive,1,0,47,0,0,0,1,1,1.0,8,18,0,0,0,0.053,48.9,Electronics,183.81,high,mid,S0090,0.0769,0.406,positive,positive,neutral,positive,satisfaction
R00000029,P002305,U009902,2021-11-04,2021,11,5,positive,1,0,32,1,8,0,45,50,0.9,15,28,1,0,0,0.059,71.8,Home & Kitchen,63.99,mid,mid,S0487,0.0508,0.928,positive,positive,neutral,positive,delight
R00000030,P004035,U037173,2022-08-21,2022,8,1,negative,0,0,48,0,0,0,14,14,1.0,11,27,1,0,0,0.071,88.0,Electronics,251.83,premium,budget,S0327,0.0635,-1.0,negative,neutral,negative,negative,frustration
R00000031,P000651,U012470,2024-05-28,2024,5,1,negative,0,0,201,1,8,0,7,8,0.875,2,8,0,0,0,0.067,52.9,Home & Kitchen,53.78,mid,premium,S0126,0.0339,-1.0,negative,negative,negative,neutral,frustration
R00000032,P003956,U016923,2021-03-12,2021,3,4,positive,1,1,48,1,3,3,0,0,0.0,83,45,1,0,3,0.255,77.8,Sports & Outdoors,32.46,low,budget,S0333,0.0563,0.501,positive,neutral,neutral,positive,satisfaction
R00000033,P002540,U005947,2020-12-06,2020,12,1,negative,1,0,110,1,5,0,2,2,1.0,19,13,0,0,0,0.061,60.3,Books,15.09,budget,budget,S0472,0.0497,-1.0,negative,negative,negative,negative,frustration
R00000034,P001838,U031802,2024-11-14,2024,11,4,positive,1,0,38,1,7,0,1,2,0.5,10,38,1,0,0,0.045,92.8,Home & Kitchen,42.3,low,budget,S0424,0.0511,0.494,positive,neutral,negative,positive,satisfaction
R00000035,P002881,U023190,2023-12-07,2023,12,5,positive,1,0,35,1,6,0,1,1,1.0,24,3,0,0,0,0.012,83.3,Electronics,57.9,mid,budget,S0165,0.0769,1.0,positive,positive,positive,neutral,satisfaction
R00000036,P001758,U038060,2024-06-03,2024,6,4,positive,0,0,102,1,4,0,33,41,0.805,4,16,0,0,0,0.035,68.9,Automotive,61.84,mid,premium,S0384,0.0473,0.607,neutral,neutral,positive,positive,satisfaction
R00000037,P004050,U028968,2023-03-24,2023,3,4,positive,1,0,66,1,9,0,6,6,1.0,22,23,0,0,0,0.053,66.2,Beauty,23.46,low,budget,S0155,0.0513,0.612,neutral,positive,positive,negative,satisfaction
R00000038,P003951,U033068,2024-03-17,2024,3,1,negative,0,0,84,1,3,0,6,6,1.0,19,46,1,0,0,0.075,55.6,Home & Kitchen,82.95,mid,premium,S0151,0.06,-1.0,negative,negative,negative,negative,anger
R00000039,P001156,U010758,2024-12-21,2024,12,3,neutral,0,0,33,1,3,0,2,2,1.0,2,22,0,0,0,0.039,78.0,Electronics,154.37,high,mid,S0092,0.0578,-0.001,neutral,negative,neutral,neutral,neutral
R00000040,P002171,U021518,2024-05-03,2024,5,4,positive,0,0,105,1,6,0,3,4,0.75,5,42,1,0,0,0.071,66.6,Home & Kitchen,100.06,high,budget,S0356,0.0483,0.525,positive,positive,neutral,positive,neutral
R00000041,P000703,U003387,2020-06-07,2020,6,4,positive,1,0,117,1,3,0,13,17,0.765,3,31,1,0,0,0.053,77.9,Electronics,248.28,high,mid,S0382,0.0729,0.606,positive,positive,neutral,neutral,mild_joy
R00000042,P000026,U026544,2024-05-18,2024,5,5,positive,1,0,95,0,0,0,6,6,1.0,3,42,1,0,1,0.013,73.2,Clothing,159.24,high,budget,S0416,0.0816,0.99,positive,positive,positive,positive,satisfaction
R00000043,P001479,U011920,2020-08-23,2020,8,3,neutral,0,0,30,1,11,3,1,1,1.0,25,24,0,0,0,0.013,94.1,Books,27.96,low,mid,S0089,0.0551,-0.064,neutral,neutral,negative,negative,neutral
R00000044,P002807,U027935,2024-07-28,2024,7,1,negative,1,0,113,0,0,0,105,126,0.833,3,14,0,0,0,0.036,49.3,Clothing,18.08,budget,mid,S0229,0.0938,-0.95,negative,negative,negative,negative,disgust
R00000045,P003803,U032797,2023-09-22,2023,9,4,positive,1,0,51,1,5,0,9,11,0.818,11,6,0,0,0,0.003,56.5,Clothing,68.32,mid,budget,S0146,0.0642,0.684,neutral,positive,neutral,neutral,satisfaction
R00000046,P004750,U005861,2020-03-25,2020,3,4,positive,0,0,35,1,10,1,8,10,0.8,16,31,1,0,0,0.071,68.0,Electronics,380.64,premium,premium,S0082,0.0566,0.378,neutral,positive,neutral,positive,satisfaction
R00000047,P002126,U001886,2023-12-21,2023,12,4,positive,1,0,22,1,4,0,5,5,1.0,36,10,0,0,0,0.005,58.1,Home & Kitchen,34.84,low,mid,S0307,0.0718,0.522,positive,neutral,neutral,positive,mild_joy
R00000048,P000016,U009490,2023-01-12,2023,1,4,positive,1,0,114,1,11,0,2,2,1.0,14,30,1,0,0,0.012,58.3,Clothing,26.94,low,mid,S0077,0.049,0.471,positive,positive,positive,positive,satisfaction
R00000049,P003255,U025000,2024-03-30,2024,3,4,positive,0,0,81,0,0,5,18,22,0.818,2,41,1,0,0,0.004,63.5,Electronics,103.89,high,premium,S0095,0.0519,0.264,neutral,positive,neutral,positive,neutral
R00000050,P001042,U011782,2023-02-21,2023,2,3,neutral,1,0,36,1,6,0,5,7,0.714,1,30,1,0,0,0.031,86.4,Sports & Outdoors,56.2,mid,mid,S0408,0.0636,-0.045,negative,negative,negative,neutral,neutral
R00000051,P002878,U017365,2024-01-31,2024,1,2,negative,1,0,16,1,3,0,3,3,1.0,20,32,1,0,0,0.061,82.2,Home & Kitchen,75.38,mid,budget,S0133,0.05,-0.546,neutral,neutral,negative,negative,disappointment
R00000052,P002271,U022752,2021-09-21,2021,9,5,positive,1,0,155,1,7,0,1,1,1.0,37,42,1,0,0,0.066,47.1,Sports & Outdoors,84.38,mid,budget,S0116,0.0815,0.912,positive,positive,positive,positive,satisfaction
R00000053,P001389,U016097,2020-04-12,2020,4,5,positive,1,0,97,0,0,4,0,0,0.0,18,3,0,0,0,0.041,66.1,Health,74.92,mid,mid,S0429,0.0773,0.976,positive,positive,neutral,positive,delight
R00000054,P001491,U039900,2024-10-21,2024,10,4,positive,1,0,100,1,8,0,3,3,1.0,55,40,1,0,0,0.078,58.6,Electronics,486.33,premium,budget,S0215,0.0183,0.505,positive,positive,neutral,positive,neutral
R00000055,P001714,U025808,2024-05-28,2024,5,2,negative,1,0,29,1,9,0,0,0,0.0,2,3,0,0,0,0.03,89.4,Health,60.91,mid,budget,S0314,0.0347,-0.627,neutral,neutral,negative,negative,disappointment
R00000056,P000883,U019912,2021-07-06,2021,7,1,negative,1,1,70,1,4,0,4,5,0.8,6,31,1,0,2,0.277,75.7,Food & Grocery,30.9,low,mid,S0125,0.0712,-0.965,negative,negative,negative,negative,frustration
R00000057,P003531,U031627,2023-05-06,2023,5,3,neutral,1,0,40,1,9,0,1,1,1.0,31,34,1,0,0,0.042,49.4,Electronics,175.52,high,mid,S0107,0.0886,-0.222,neutral,neutral,neutral,neutral,neutral
R00000058,P001981,U039649,2020-06-19,2020,6,4,positive,1,0,44,1,11,0,5,6,0.833,2,46,1,0,0,0.026,64.1,Health,50.63,mid,budget,S0423,0.071,0.597,positive,neutral,neutral,neutral,satisfaction
R00000059,P003593,U032586,2024-12-31,2024,12,5,positive,1,0,31,1,7,0,1,1,1.0,10,7,0,0,1,0.048,77.3,Toys & Games,23.53,low,budget,S0203,0.0599,1.0,positive,positive,positive,positive,delight
R00000060,P002913,U038320,2024-08-25,2024,8,4,positive,1,0,27,1,9,1,1,1,1.0,31,31,1,0,0,0.068,67.9,Books,7.1,budget,mid,S0130,0.0699,0.631,neutral,positive,positive,neutral,satisfaction
R00000061,P001143,U015030,2023-06-12,2023,6,3,neutral,1,0,66,1,9,0,0,0,0.0,15,34,1,0,0,0.028,45.4,Toys & Games,11.48,budget,budget,S0323,0.0738,-0.051,neutral,neutral,neutral,neutral,mild_disappointment
R00000062,P001605,U014929,2020-02-18,2020,2,2,negative,1,0,98,1,6,0,3,3,1.0,17,42,1,0,0,0.009,61.8,Clothing,126.6,high,premium,S0303,0.0455,-0.455,negative,negative,negative,negative,disappointment
R00000063,P004623,U038818,2024-06-13,2024,6,5,positive,1,0,72,1,10,0,0,0,0.0,1,42,1,0,0,0.059,64.9,Sports & Outdoors,41.32,low,mid,S0345,0.1181,0.91,positive,neutral,positive,positive,joy
R00000064,P002122,U030780,2021-11-24,2021,11,3,neutral,1,0,53,1,8,0,1,2,0.5,2,15,0,0,0,0.047,50.3,Electronics,77.01,mid,premium,S0106,0.0592,-0.134,neutral,positive,neutral,neutral,neutral
R00000065,P000572,U006640,2024-01-17,2024,1,1,negative,1,0,66,1,8,0,5,6,0.833,6,16,0,0,0,0.044,95.3,Health,33.71,low,premium,S0329,0.0446,-1.0,neutral,neutral,negative,negative,frustration
R00000066,P003219,U009052,2023-10-29,2023,10,5,positive,1,0,40,0,0,0,0,0,0.0,22,9,0,0,2,0.052,73.3,Clothing,32.65,low,mid,S0306,0.0545,1.0,positive,positive,positive,positive,satisfaction
R00000067,P001714,U019111,2023-09-02,2023,9,3,neutral,1,0,155,1,7,2,0,0,0.0,15,26,1,0,0,0.056,68.8,Health,60.91,mid,budget,S0314,0.0347,0.071,neutral,neutral,neutral,negative,mild_disappointment
R00000068,P002337,U030342,2023-02-27,2023,2,1,negative,1,0,171,1,8,3,3,3,1.0,24,32,1,0,0,0.037,29.5,Health,15.64,budget,budget,S0450,0.0542,-1.0,negative,neutral,negative,negative,anger
R00000069,P001040,U037629,2024-06-12,2024,6,4,positive,1,0,32,1,8,0,4,4,1.0,12,16,0,0,0,0.03,51.3,Electronics,242.62,high,premium,S0032,0.0886,0.505,neutral,positive,neutral,negative,satisfaction
R00000070,P000060,U005494,2024-02-02,2024,2,4,positive,1,0,61,1,10,1,5,6,0.833,30,32,1,0,0,0.06,48.9,Electronics,281.51,premium,budget,S0092,0.0578,0.262,neutral,neutral,neutral,positive,satisfaction
R00000071,P002926,U022109,2021-04-15,2021,4,5,positive,0,0,29,1,5,0,3,3,1.0,18,30,1,0,1,0.015,96.1,Sports & Outdoors,28.67,low,budget,S0270,0.0915,0.998,neutral,positive,positive,neutral,joy
