customer_id,country,total_spend,order_count,units_purchased,average_order_value,first_purchase,last_purchase,recency,frequency,monetary_value,r_score,f_score,m_score,rfm_score,rfm_segment,retention_action
17850,United Kingdom,5303.48,34,1733.0,155.98,2010-12-01 08:26,2011-02-10 14:38,301,34,5303.48,1,5,5,155,Loyal customers,Nurture and recommend next purchase
13047,United Kingdom,3079.1,10,1391.0,307.91,2010-12-01 08:34,2011-11-08 12:10,31,10,3079.1,3,5,5,355,Champions,Nurture and recommend next purchase
12583,France,7187.34,15,5060.0,479.16,2010-12-01 08:45,2011-12-07 08:07,2,15,7187.34,5,5,5,555,Champions,Nurture and recommend next purchase
13748,United Kingdom,948.25,5,439.0,189.65,2010-12-01 09:00,2011-09-05 09:45,95,5,948.25,2,5,4,254,Loyal customers,Nurture and recommend next purchase
15100,United Kingdom,635.1,3,80.0,211.7,2010-12-01 09:09,2011-01-13 17:09,329,3,635.1,1,4,3,143,Inactive,Win-back campaign
15291,United Kingdom,4596.51,15,2103.0,306.43,2010-12-01 09:32,2011-11-14 11:02,25,15,4596.51,4,5,5,455,Champions,Nurture and recommend next purchase
14688,United Kingdom,5055.61,21,3584.0,240.74,2010-12-01 09:37,2011-12-02 12:26,7,21,5055.61,5,5,5,555,Champions,Nurture and recommend next purchase
17809,United Kingdom,4627.62,12,2057.0,385.63,2010-12-01 09:41,2011-11-23 13:00,15,12,4627.62,4,5,5,455,Champions,Nurture and recommend next purchase
15311,United Kingdom,59284.19,91,38147.0,651.47,2010-12-01 09:41,2011-12-09 12:00,0,91,59284.19,5,5,5,555,Champions,Nurture and recommend next purchase
14527,United Kingdom,7709.69,55,2088.0,140.18,2010-12-01 09:41,2011-12-07 12:19,2,55,7709.69,5,5,5,555,Champions,Nurture and recommend next purchase
16098,United Kingdom,2005.63,7,613.0,286.52,2010-12-01 09:45,2011-09-13 09:59,87,7,2005.63,2,5,5,255,Loyal customers,Nurture and recommend next purchase
18074,United Kingdom,489.6,1,190.0,489.6,2010-12-01 09:53,2010-12-01 09:53,373,1,489.6,1,2,3,123,Inactive,Win-back campaign
17420,United Kingdom,598.83,3,265.0,199.61,2010-12-01 09:56,2011-10-20 14:52,49,3,598.83,3,4,3,343,Loyal customers,Nurture and recommend next purchase
16029,United Kingdom,53168.69,63,40108.0,843.95,2010-12-01 09:57,2011-11-01 10:27,38,63,53168.69,3,5,5,355,Champions,Nurture and recommend next purchase
16250,United Kingdom,389.44,2,208.0,194.72,2010-12-01 09:59,2011-03-23 15:07,260,2,389.44,1,3,2,132,Inactive,Win-back campaign
12431,Australia,6348.89,15,2908.0,423.26,2010-12-01 10:03,2011-11-04 11:55,35,15,6348.89,3,5,5,355,Champions,Nurture and recommend next purchase
17511,United Kingdom,88125.38,31,64549.0,2842.75,2010-12-01 10:19,2011-12-07 10:12,2,31,88125.38,5,5,5,555,Champions,Nurture and recommend next purchase
17548,United Kingdom,-141.48,1,58.0,-141.48,2010-12-01 10:24,2011-05-06 10:00,217,1,-141.48,1,2,1,121,Inactive,Win-back campaign
13705,United Kingdom,711.86,3,363.0,237.29,2010-12-01 10:29,2011-12-02 12:32,7,3,711.86,5,4,3,543,Loyal customers,Nurture and recommend next purchase
13747,United Kingdom,79.6,1,8.0,79.6,2010-12-01 10:37,2010-12-01 10:37,373,1,79.6,1,2,1,121,Inactive,Win-back campaign
13408,United Kingdom,27487.41,62,16232.0,443.35,2010-12-01 10:39,2011-12-08 09:05,1,62,27487.41,5,5,5,555,Champions,Nurture and recommend next purchase
13767,United Kingdom,16945.71,37,7322.0,457.99,2010-12-01 10:47,2011-12-07 15:00,1,37,16945.71,5,5,5,555,Champions,Nurture and recommend next purchase
17924,United Kingdom,2894.33,7,1160.0,413.48,2010-12-01 10:51,2011-12-08 19:28,0,7,2894.33,5,5,5,555,Champions,Nurture and recommend next purchase
13448,United Kingdom,3460.99,6,1648.0,576.83,2010-12-01 10:52,2011-11-23 12:33,16,6,3460.99,4,5,5,455,Champions,Nurture and recommend next purchase
15862,United Kingdom,832.88,4,585.0,208.22,2010-12-01 11:21,2011-12-01 13:28,7,4,832.88,5,4,3,543,Loyal customers,Nurture and recommend next purchase
15513,United Kingdom,14520.08,19,5709.0,764.21,2010-12-01 11:22,2011-11-08 16:21,30,19,14520.08,4,5,5,455,Champions,Nurture and recommend next purchase
12791,Netherlands,192.6,1,97.0,192.6,2010-12-01 11:27,2010-12-01 11:27,373,1,192.6,1,2,1,121,Inactive,Win-back campaign
16218,United Kingdom,3054.87,7,2088.0,436.41,2010-12-01 11:29,2011-11-10 09:59,29,7,3054.87,4,5,5,455,Champions,Nurture and recommend next purchase
14045,United Kingdom,1659.75,4,535.0,414.94,2010-12-01 11:32,2011-08-22 15:27,108,4,1659.75,2,4,4,244,Loyal customers,Nurture and recommend next purchase
14307,United Kingdom,2995.72,6,2058.0,499.29,2010-12-01 11:41,2011-09-12 09:38,88,6,2995.72,2,5,5,255,Loyal customers,Nurture and recommend next purchase
17908,United Kingdom,232.03,1,169.0,232.03,2010-12-01 11:45,2010-12-01 11:45,373,1,232.03,1,2,1,121,Inactive,Win-back campaign
17920,United Kingdom,4119.5,17,2473.0,242.32,2010-12-01 11:49,2011-12-05 14:29,3,17,4119.5,5,5,5,555,Champions,Nurture and recommend next purchase
12838,United Kingdom,671.95,2,355.0,335.98,2010-12-01 11:57,2011-11-06 12:20,33,2,671.95,3,3,3,333,Growing customers,Nurture and recommend next purchase
13255,United Kingdom,390.66,2,177.0,195.33,2010-12-01 11:58,2011-12-06 10:56,3,2,390.66,5,3,2,532,Loyal customers,Nurture and recommend next purchase
16583,United Kingdom,233.45,1,111.0,233.45,2010-12-01 12:03,2010-12-01 12:03,373,1,233.45,1,2,2,122,Inactive,Win-back campaign
18085,United Kingdom,689.95,2,265.0,344.98,2010-12-01 12:08,2011-01-13 15:17,329,2,689.95,1,3,3,133,Inactive,Win-back campaign
13758,United Kingdom,3190.55,7,1844.0,455.79,2010-12-01 12:08,2011-11-28 11:11,11,7,3190.55,4,5,5,455,Champions,Nurture and recommend next purchase
13694,United Kingdom,62690.54,50,63312.0,1253.81,2010-12-01 12:12,2011-12-06 09:32,3,50,62690.54,5,5,5,555,Champions,Nurture and recommend next purchase
15983,United Kingdom,1465.12,4,886.0,366.28,2010-12-01 12:15,2011-11-17 17:34,21,4,1465.12,4,4,4,444,Loyal customers,Nurture and recommend next purchase
14849,United Kingdom,7904.28,25,5694.0,316.17,2010-12-01 12:22,2011-11-18 10:58,21,25,7904.28,4,5,5,455,Champions,Nurture and recommend next purchase
17968,United Kingdom,265.1,1,151.0,265.1,2010-12-01 12:23,2010-12-01 12:23,373,1,265.1,1,2,2,122,Inactive,Win-back campaign
16210,United Kingdom,21086.3,18,7559.0,1171.46,2010-12-01 12:27,2011-12-08 12:36,1,18,21086.3,5,5,5,555,Champions,Nurture and recommend next purchase
17897,United Kingdom,516.31,3,222.0,172.1,2010-12-01 12:31,2011-06-20 11:23,172,3,516.31,2,4,3,243,Inactive,Win-back campaign
17377,United Kingdom,3883.32,20,2038.0,194.17,2010-12-01 12:35,2011-11-16 11:17,23,20,3883.32,4,5,5,455,Champions,Nurture and recommend next purchase
16552,United Kingdom,379.73,2,219.0,189.87,2010-12-01 12:36,2011-04-11 10:04,242,2,379.73,1,3,2,132,Inactive,Win-back campaign
17181,United Kingdom,239.92,2,241.0,119.96,2010-12-01 12:38,2011-10-13 14:48,56,2,239.92,3,3,2,332,Growing customers,Nurture and recommend next purchase
17951,United Kingdom,990.84,3,616.0,330.28,2010-12-01 12:40,2011-10-31 12:30,39,3,990.84,3,4,4,344,Loyal customers,Nurture and recommend next purchase
14729,United Kingdom,313.49,1,197.0,313.49,2010-12-01 12:43,2010-12-01 12:43,373,1,313.49,1,2,2,122,Inactive,Win-back campaign
12748,United Kingdom,28405.56,210,25288.0,135.26,2010-12-01 12:48,2011-12-09 12:20,0,210,28405.56,5,5,5,555,Champions,Nurture and recommend next purchase
15012,United Kingdom,405.04,2,225.0,202.52,2010-12-01 12:49,2011-10-17 12:22,53,2,405.04,3,3,2,332,Growing customers,Nurture and recommend next purchase
12868,United Kingdom,1607.06,6,928.0,267.84,2010-12-01 12:50,2011-06-07 10:42,185,6,1607.06,1,5,4,154,Loyal customers,Nurture and recommend next purchase
17572,United Kingdom,226.75,4,95.0,56.69,2010-12-01 12:51,2011-09-29 17:53,70,4,226.75,2,4,1,241,Inactive,Win-back campaign
14078,United Kingdom,1049.37,6,310.0,174.9,2010-12-01 12:54,2011-08-30 12:16,101,6,1049.37,2,5,4,254,Loyal customers,Nurture and recommend next purchase
14001,United Kingdom,2030.33,3,962.0,676.78,2010-12-01 12:58,2011-10-25 10:31,45,3,2030.33,3,4,5,345,Loyal customers,Nurture and recommend next purchase
12662,Germany,3817.08,11,2058.0,347.01,2010-12-01 13:04,2011-12-09 11:59,0,11,3817.08,5,5,5,555,Champions,Nurture and recommend next purchase
15525,United Kingdom,719.47,3,387.0,239.82,2010-12-01 13:17,2011-12-07 15:39,1,3,719.47,5,4,3,543,Loyal customers,Nurture and recommend next purchase
14237,United Kingdom,161.0,1,38.0,161.0,2010-12-01 13:20,2010-12-01 13:20,372,1,161.0,1,2,1,121,Inactive,Win-back campaign
17905,United Kingdom,798.99,4,406.0,199.75,2010-12-01 13:21,2011-09-29 17:33,70,4,798.99,2,4,3,243,Inactive,Win-back campaign
15485,United Kingdom,2564.5,3,1281.0,854.83,2010-12-01 13:23,2011-11-09 14:31,29,3,2564.5,4,4,5,445,Champions,Nurture and recommend next purchase
12433,Norway,13375.87,7,11071.0,1910.84,2010-12-01 13:24,2011-12-09 10:02,0,7,13375.87,5,5,5,555,Champions,Nurture and recommend next purchase
16955,United Kingdom,493.67,4,266.0,123.42,2010-12-01 13:31,2011-06-08 10:36,184,4,493.67,1,4,3,143,Inactive,Win-back campaign
15350,United Kingdom,115.65,1,51.0,115.65,2010-12-01 13:33,2010-12-01 13:33,372,1,115.65,1,2,1,121,Inactive,Win-back campaign
15605,United Kingdom,1198.23,5,441.0,239.65,2010-12-01 13:38,2011-11-03 14:17,35,5,1198.23,3,5,4,354,Loyal customers,Nurture and recommend next purchase
18144,United Kingdom,2888.75,12,1343.0,240.73,2010-12-01 13:45,2011-12-02 12:46,7,12,2888.75,5,5,5,555,Champions,Nurture and recommend next purchase
15922,United Kingdom,363.6,1,138.0,363.6,2010-12-01 13:51,2010-12-02 13:05,371,1,363.6,1,2,2,122,Inactive,Win-back campaign
14594,United Kingdom,363.33,2,183.0,181.66,2010-12-01 13:54,2011-12-02 13:28,6,2,363.33,5,3,2,532,Loyal customers,Nurture and recommend next purchase
15165,United Kingdom,487.75,1,160.0,487.75,2010-12-01 14:03,2010-12-01 14:03,372,1,487.75,1,2,3,123,Inactive,Win-back campaign
14911,EIRE,132458.73,201,80490.0,659.0,2010-12-01 14:05,2011-12-08 15:54,0,201,132458.73,5,5,5,555,Champions,Nurture and recommend next purchase
16456,United Kingdom,2158.18,5,1147.0,431.64,2010-12-01 14:11,2011-09-01 13:50,98,5,2158.18,2,5,5,255,Loyal customers,Nurture and recommend next purchase
17841,United Kingdom,39869.05,124,22834.0,321.52,2010-12-01 14:30,2011-12-08 12:07,1,124,39869.05,5,5,5,555,Champions,Nurture and recommend next purchase
12472,Germany,6229.48,7,4148.0,889.93,2010-12-01 14:33,2011-11-09 11:33,30,7,6229.48,4,5,5,455,Champions,Nurture and recommend next purchase
17346,United Kingdom,2557.9,15,1617.0,170.53,2010-12-01 14:34,2011-12-06 12:18,3,15,2557.9,5,5,5,555,Champions,Nurture and recommend next purchase
17643,United Kingdom,101.55,1,71.0,101.55,2010-12-01 14:38,2010-12-01 14:38,372,1,101.55,1,2,1,121,Inactive,Win-back campaign
17873,United Kingdom,1754.16,5,1035.0,350.83,2010-12-01 14:54,2011-09-20 16:41,79,5,1754.16,2,5,4,254,Loyal customers,Nurture and recommend next purchase
13093,United Kingdom,7741.47,8,3961.0,967.68,2010-12-01 15:00,2011-03-17 17:16,266,8,7741.47,1,5,5,155,Loyal customers,Nurture and recommend next purchase
12921,United Kingdom,16389.74,37,9526.0,442.97,2010-12-01 15:06,2011-12-06 09:56,3,37,16389.74,5,5,5,555,Champions,Nurture and recommend next purchase
13468,United Kingdom,5656.75,37,2589.0,152.89,2010-12-01 15:08,2011-12-08 10:39,1,37,5656.75,5,5,5,555,Champions,Nurture and recommend next purchase
17760,United Kingdom,287.59,2,239.0,143.79,2010-12-01 15:08,2011-11-18 10:56,21,2,287.59,4,3,2,432,Growing customers,Nurture and recommend next purchase
16928,United Kingdom,2748.6,17,2092.0,161.68,2010-12-01 15:21,2011-09-20 15:10,79,17,2748.6,2,5,5,255,Loyal customers,Nurture and recommend next purchase
16048,United Kingdom,243.69,2,144.0,121.84,2010-12-01 15:27,2011-09-15 10:12,85,2,243.69,2,3,2,232,Inactive,Win-back campaign
16274,United Kingdom,351.75,1,153.0,351.75,2010-12-01 15:35,2010-12-01 15:35,372,1,351.75,1,2,2,122,Inactive,Win-back campaign
14496,United Kingdom,538.81,2,159.0,269.4,2010-12-01 15:35,2011-02-01 09:01,311,2,538.81,1,3,3,133,Inactive,Win-back campaign
14696,United Kingdom,2070.97,7,1630.0,295.85,2010-12-01 15:37,2011-12-05 13:43,3,7,2070.97,5,5,5,555,Champions,Nurture and recommend next purchase
16539,United Kingdom,1388.81,4,477.0,347.2,2010-12-01 15:40,2011-12-07 08:41,2,4,1388.81,5,4,4,544,Champions,Nurture and recommend next purchase
17025,United Kingdom,357.77,3,235.0,119.26,2010-12-01 15:45,2011-10-10 09:06,60,3,357.77,3,4,2,342,Growing customers,Nurture and recommend next purchase
13777,United Kingdom,25748.35,33,12897.0,780.25,2010-12-01 16:01,2011-12-09 12:25,0,33,25748.35,5,5,5,555,Champions,Nurture and recommend next purchase
17690,United Kingdom,4717.3,15,1769.0,314.49,2010-12-01 16:15,2011-11-09 15:17,29,15,4717.3,4,5,5,455,Champions,Nurture and recommend next purchase
12947,United Kingdom,1407.29,6,1165.0,234.55,2010-12-01 16:21,2011-07-19 10:06,143,6,1407.29,2,5,4,254,Loyal customers,Nurture and recommend next purchase
17460,United Kingdom,452.63,6,236.0,75.44,2010-12-01 16:24,2011-09-22 10:58,78,6,452.63,2,5,2,252,Inactive,Win-back campaign
18229,United Kingdom,7276.9,20,2488.0,363.84,2010-12-01 16:25,2011-11-28 09:48,11,20,7276.9,4,5,5,455,Champions,Nurture and recommend next purchase
14142,United Kingdom,311.81,1,313.0,311.81,2010-12-01 16:33,2010-12-01 16:33,372,1,311.81,1,2,2,122,Inactive,Win-back campaign
17069,United Kingdom,2655.22,9,1506.0,295.02,2010-12-01 16:49,2011-11-11 17:13,27,9,2655.22,4,5,5,455,Champions,Nurture and recommend next purchase
13065,United Kingdom,205.86,1,74.0,205.86,2010-12-01 16:52,2010-12-01 16:52,372,1,205.86,1,2,1,121,Inactive,Win-back campaign
14606,United Kingdom,11633.35,93,6187.0,125.09,2010-12-01 16:57,2011-12-08 19:28,0,93,11633.35,5,5,5,555,Champions,Nurture and recommend next purchase
16835,United Kingdom,180.85,2,61.0,90.42,2010-12-01 17:15,2011-08-03 13:50,127,2,180.85,2,3,1,231,Inactive,Win-back campaign
15235,United Kingdom,2247.51,12,1324.0,187.29,2010-12-01 17:22,2011-05-06 09:44,217,12,2247.51,1,5,5,155,Loyal customers,Nurture and recommend next purchase
13576,United Kingdom,6703.3,18,2646.0,372.41,2010-12-01 17:24,2011-11-29 15:34,9,18,6703.3,5,5,5,555,Champions,Nurture and recommend next purchase
18011,United Kingdom,102.79,1,71.0,102.79,2010-12-01 17:35,2010-12-01 17:35,372,1,102.79,1,2,1,121,Inactive,Win-back campaign
13090,United Kingdom,8689.39,14,2263.0,620.67,2010-12-02 07:48,2011-12-01 12:39,8,14,8689.39,5,5,5,555,Champions,Nurture and recommend next purchase
15694,United Kingdom,6423.6,14,1677.0,458.83,2010-12-02 07:49,2011-12-09 09:44,0,14,6423.6,5,5,5,555,Champions,Nurture and recommend next purchase
14741,United Kingdom,1400.34,6,841.0,233.39,2010-12-02 08:43,2011-11-28 08:48,11,6,1400.34,4,5,4,454,Champions,Nurture and recommend next purchase
13715,United Kingdom,1051.99,5,562.0,210.4,2010-12-02 08:52,2011-03-03 19:21,280,5,1051.99,1,5,4,154,Loyal customers,Nurture and recommend next purchase
14092,United Kingdom,4063.1,14,2066.0,290.22,2010-12-02 09:10,2011-12-02 12:13,7,14,4063.1,5,5,5,555,Champions,Nurture and recommend next purchase
17732,United Kingdom,303.97,1,93.0,303.97,2010-12-02 09:29,2010-12-02 09:29,372,1,303.97,1,2,2,122,Inactive,Win-back campaign
12855,United Kingdom,38.1,1,30.0,38.1,2010-12-02 09:37,2010-12-02 09:37,372,1,38.1,1,2,1,121,Inactive,Win-back campaign
15752,United Kingdom,2618.15,7,1960.0,374.02,2010-12-02 09:43,2011-10-31 11:37,39,7,2618.15,3,5,5,355,Champions,Nurture and recommend next purchase
17855,United Kingdom,208.97,1,197.0,208.97,2010-12-02 09:44,2010-12-02 09:44,372,1,208.97,1,2,1,121,Inactive,Win-back campaign
14047,United Kingdom,1290.01,5,381.0,258.0,2010-12-02 10:09,2011-12-01 11:43,8,5,1290.01,5,5,4,554,Champions,Nurture and recommend next purchase
17925,United Kingdom,244.08,1,72.0,244.08,2010-12-02 10:10,2010-12-02 10:10,372,1,244.08,1,2,2,122,Inactive,Win-back campaign
13941,United Kingdom,4912.41,5,2364.0,982.48,2010-12-02 10:17,2011-11-18 09:43,21,5,4912.41,4,5,5,455,Champions,Nurture and recommend next purchase
17017,United Kingdom,8574.11,20,6673.0,428.71,2010-12-02 10:17,2011-12-07 09:32,2,20,8574.11,5,5,5,555,Champions,Nurture and recommend next purchase
14135,United Kingdom,4690.31,15,3850.0,312.69,2010-12-02 10:27,2011-12-08 11:38,1,15,4690.31,5,5,5,555,Champions,Nurture and recommend next purchase
