stock_code,description,revenue,quantity_sold,order_frequency,return_quantity,return_rate,country
DOT,DOTCOM POSTAGE,206248.77,1708,710,1,0.0006,United Kingdom
22423,REGENCY CAKESTAND 3 TIER,174156.54,13862,2172,908,0.0655,United Kingdom
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,2,80995,1.0,United Kingdom
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104462.75,41645,2246,2834,0.0681,United Kingdom
47566,PARTY BUNTING,99445.23,18287,1706,277,0.0151,United Kingdom
85099B,JUMBO BAG RED RETROSPOT,94159.81,48375,2135,1115,0.023,United Kingdom
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92,78033,257,74494,0.9546,United Kingdom
POST,POSTAGE,78101.88,6500,1254,147,0.0226,Germany
M,Manual,77750.27,6990,517,4066,0.5817,United Kingdom
23084,RABBIT NIGHT LIGHT,66870.03,31673,1025,1076,0.034,United Kingdom
22086,PAPER CHAIN KIT 50'S CHRISTMAS,64875.59,19329,1170,453,0.0234,United Kingdom
84879,ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1468,240,0.0066,United Kingdom
79321,CHILLI LIGHTS,54096.36,10419,673,80,0.0077,United Kingdom
22502,PICNIC BASKET WICKER SMALL,51408.77,2045,478,175,0.0856,United Kingdom
22197,POPCORN HOLDER,51334.47,56898,1442,471,0.0083,United Kingdom
23298,SPOTTY BUNTING,43148.18,8637,1159,110,0.0127,United Kingdom
22386,JUMBO BAG PINK POLKADOT,42401.01,21448,1231,456,0.0213,United Kingdom
23203,JUMBO BAG VINTAGE DOILY,42030.34,20585,1249,590,0.0287,United Kingdom
21137,BLACK RECORD COVER FRAME,40633.38,11651,381,40,0.0034,United Kingdom
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5500,739,240,0.0436,United Kingdom
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7497,1462,218,0.0291,United Kingdom
22960,JAM MAKING SET WITH JARS,37082.13,8706,1220,247,0.0284,United Kingdom
82484,WOOD BLACK BOARD ANT WHITE FINISH,35966.92,6012,696,24,0.004,United Kingdom
20725,LUNCH BAG RED RETROSPOT,35862.36,19432,1608,574,0.0295,United Kingdom
22178,VICTORIAN GLASS HANGING T-LIGHT,33146.82,24275,1062,450,0.0185,United Kingdom
22114,HOT WATER BOTTLE TEA AND SYMPATHY,32973.44,5885,652,301,0.0511,United Kingdom
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,32843.84,10594,832,351,0.0331,United Kingdom
22112,CHOCOLATE HOT WATER BOTTLE,32826.58,6018,866,128,0.0213,United Kingdom
85099F,JUMBO BAG STRAWBERRY,32495.59,17341,830,1342,0.0774,United Kingdom
22469,HEART OF WICKER SMALL,32094.6,17971,1214,188,0.0105,United Kingdom
23245,SET OF 3 REGENCY CAKE TINS,31118.55,6345,910,90,0.0142,United Kingdom
21931,JUMBO STORAGE BAG SUKI,30764.01,13651,1201,334,0.0245,United Kingdom
22727,ALARM CLOCK BAKELIKE RED,30644.87,7800,1081,71,0.0091,United Kingdom
23199,JUMBO BAG APPLES,30450.69,14908,999,723,0.0485,United Kingdom
22470,HEART OF WICKER LARGE,30098.11,9890,944,74,0.0075,United Kingdom
22355,CHARLOTTE BAG SUKI DESIGN,29254.15,18125,895,150,0.0083,United Kingdom
22699,ROSES REGENCY TEACUP AND SAUCER,29056.92,9865,1120,437,0.0443,United Kingdom
23355,HOT WATER BOTTLE KEEP CALM,28718.8,5816,790,96,0.0165,United Kingdom
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,28577.1,12574,1187,354,0.0282,United Kingdom
20685,DOORMAT RED RETROSPOT,28049.54,4089,704,66,0.0161,United Kingdom
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28047.74,13900,947,281,0.0202,United Kingdom
22457,NATURAL SLATE HEART CHALKBOARD,27991.61,9119,1266,52,0.0057,United Kingdom
23201,JUMBO BAG ALPHABET,27850.83,13366,920,594,0.0444,United Kingdom
22726,ALARM CLOCK BAKELIKE GREEN,27155.28,6420,1003,46,0.0072,United Kingdom
21175,GIN + TONIC DIET METAL SIGN,27029.97,12207,817,2048,0.1678,United Kingdom
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,26425.58,9461,453,9376,0.991,United Kingdom
21915,RED  HARMONICA IN BOX,26294.08,22103,671,67,0.003,United Kingdom
22666,RECIPE BOX PANTRY YELLOW DESIGN,26219.95,8290,1164,151,0.0182,United Kingdom
84946,ANTIQUE SILVER T-LIGHT GLASS,25843.38,19209,932,335,0.0174,United Kingdom
22629,SPACEBOY LUNCH BOX,25719.02,14249,908,54,0.0038,United Kingdom
22961,JAM MAKING SET PRINTED,25637.78,16396,1174,331,0.0202,United Kingdom
48138,DOORMAT UNION FLAG,25534.15,3751,623,12,0.0032,United Kingdom
21181,PLEASE ONE PERSON METAL SIGN,25225.48,12692,862,147,0.0116,United Kingdom
23173,REGENCY TEAPOT ROSES,24879.13,2766,429,52,0.0188,United Kingdom
