InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,line_value,absolute_line_value,transaction_type,is_return,is_cancellation,is_adjustment,is_zero_price,is_extreme_quantity,customer_available,year,month,day,day_of_week,quarter
C536379,D,Discount,-1,12/01/2010 09:41,27.5,14527,United Kingdom,-27.5,27.5,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,12/01/2010 09:49,4.6500000000000004,15311,United Kingdom,-4.65,4.65,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536391,22556,PLASTERS IN TIN CIRCUS PARADE,-12,12/01/2010 10:24,1.65,17548,United Kingdom,-19.8,19.8,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES,-24,12/01/2010 10:24,0.28999999999999998,17548,United Kingdom,-6.96,6.96,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES,-24,12/01/2010 10:24,0.28999999999999998,17548,United Kingdom,-6.96,6.96,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES,-24,12/01/2010 10:24,0.28999999999999998,17548,United Kingdom,-6.96,6.96,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,12/01/2010 10:24,3.45,17548,United Kingdom,-41.4,41.4,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY,-12,12/01/2010 10:24,1.65,17548,United Kingdom,-19.8,19.8,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536391,22553,PLASTERS IN TIN SKULLS,-24,12/01/2010 10:24,1.65,17548,United Kingdom,-39.6,39.6,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536506,22960,JAM MAKING SET WITH JARS,-6,12/01/2010 12:38,4.25,17897,United Kingdom,-25.5,25.5,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536543,22632,HAND WARMER RED RETROSPOT,-1,12/01/2010 14:30,2.1,17841,United Kingdom,-2.1,2.1,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536543,22355,CHARLOTTE BAG SUKI DESIGN,-2,12/01/2010 14:30,0.85,17841,United Kingdom,-1.7,1.7,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,12/01/2010 14:33,1.95,12472,Germany,-7.8,7.8,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,12/01/2010 14:33,1.65,12472,Germany,-8.25,8.25,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,12/01/2010 14:33,2.95,12472,Germany,-2.95,2.95,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,12/01/2010 14:33,1.25,12472,Germany,-8.75,8.75,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,22654,DELUXE SEWING KIT,-1,12/01/2010 14:33,5.95,12472,Germany,-5.95,5.95,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,22767,TRIPLE PHOTO FRAME CORNICE,-2,12/01/2010 14:33,9.9499999999999993,12472,Germany,-19.9,19.9,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,12/01/2010 14:33,1.65,12472,Germany,-1.65,1.65,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,12/01/2010 14:33,0.85,12472,Germany,-1.7,1.7,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,22077,6 RIBBONS RUSTIC CHARM,-6,12/01/2010 14:33,1.65,12472,Germany,-9.9,9.9,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,22631,CIRCUS PARADE LUNCH BOX,-1,12/01/2010 14:33,1.95,12472,Germany,-1.95,1.95,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,22168,ORGANISER WOOD ANTIQUE WHITE,-2,12/01/2010 14:33,8.5,12472,Germany,-17.0,17.0,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,21218,RED SPOTTY BISCUIT TIN,-3,12/01/2010 14:33,3.75,12472,Germany,-11.25,11.25,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,20957,PORCELAIN HANGING BELL SMALL,-1,12/01/2010 14:33,1.45,12472,Germany,-1.45,1.45,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
C536548,22580,ADVENT CALENDAR GINGHAM SACK,-4,12/01/2010 14:33,5.95,12472,Germany,-23.8,23.8,CANCELLATION,0,1,0,0,0,1,2010,12,1,Wednesday,4
536589,21777,RECIPE BOX WITH METAL HEART,-10,12/01/2010 16:50,0,,United Kingdom,-0.0,0.0,RETURN,1,0,0,1,0,0,2010,12,1,Wednesday,4
C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,12/02/2010 09:10,2.95,14092,United Kingdom,-5.9,5.9,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,12/02/2010 10:37,8.5,12471,Germany,-17.0,17.0,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,12/02/2010 10:46,14.95,14766,United Kingdom,-29.9,29.9,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536642,21463,MIRRORED DISCO BALL,-1,12/02/2010 11:56,5.95,14390,United Kingdom,-5.95,5.95,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536734,22780,LIGHT GARLAND BUTTERFILES PINK,-4,12/02/2010 12:50,4.25,16042,United Kingdom,-17.0,17.0,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536734,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,12/02/2010 12:50,7.95,16042,United Kingdom,-7.95,7.95,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,12/02/2010 13:05,2.95,15922,United Kingdom,-5.9,5.9,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,12/02/2010 14:23,0.03,15838,United Kingdom,-280.8,280.8,CANCELLATION,0,1,0,0,1,1,2010,12,2,Thursday,4
C536758,21314,SMALL GLASS HEART TRINKET POT,-1,12/02/2010 14:25,2.1,13767,United Kingdom,-2.1,2.1,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536760,22175,PINK OWL SOFT TOY,-1,12/02/2010 14:29,2.95,17547,United Kingdom,-2.95,2.95,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536760,22273,FELTCRAFT DOLL MOLLY,-3,12/02/2010 14:29,2.95,17547,United Kingdom,-8.85,8.85,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
536764,84952C,MIRROR LOVE BIRD T-LIGHT HOLDER,-38,12/02/2010 14:42,0,,United Kingdom,-0.0,0.0,RETURN,1,0,0,1,0,0,2010,12,2,Thursday,4
C536807,22501,PICNIC BASKET WICKER LARGE,-2,12/02/2010 16:45,9.9499999999999993,15834,United Kingdom,-19.9,19.9,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536807,22778,GLASS CLOCHE SMALL,-1,12/02/2010 16:45,3.95,15834,United Kingdom,-3.95,3.95,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,12/02/2010 16:58,0.85,16546,United Kingdom,-30.6,30.6,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536812,22574,HEART WOODEN CHRISTMAS DECORATION,-192,12/02/2010 16:58,0.72,16546,United Kingdom,-138.24,138.24,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536812,22593,CHRISTMAS GINGHAM STAR,-144,12/02/2010 16:58,0.72,16546,United Kingdom,-103.68,103.68,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536812,22595,CHRISTMAS GINGHAM HEART,-144,12/02/2010 16:58,0.72,16546,United Kingdom,-103.68,103.68,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536812,22588,CARD HOLDER GINGHAM HEART,-192,12/02/2010 16:58,2.1,16546,United Kingdom,-403.2,403.2,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536812,22130,PARTY CONE CHRISTMAS DECORATION,-144,12/02/2010 16:58,0.72,16546,United Kingdom,-103.68,103.68,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT,-2,12/02/2010 17:03,7.95,13958,United Kingdom,-15.9,15.9,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,12/02/2010 17:03,2.95,13958,United Kingdom,-17.7,17.7,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536814,85066,CREAM SWEETHEART MINI CHEST,-2,12/02/2010 17:03,12.75,13958,United Kingdom,-25.5,25.5,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,12/02/2010 17:03,2.5499999999999998,13958,United Kingdom,-30.6,30.6,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536814,21258,VICTORIAN SEWING BOX LARGE,-1,12/02/2010 17:03,12.75,13958,United Kingdom,-12.75,12.75,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536815,85175,CACTI T-LIGHT CANDLES,-1,12/02/2010 17:05,0.42,14443,United Kingdom,-0.42,0.42,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,12/02/2010 17:05,1.25,14443,United Kingdom,-1.25,1.25,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536816,21129,SILVER FISHING GNOME,-2,12/02/2010 17:06,6.95,14443,United Kingdom,-13.9,13.9,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,12/02/2010 17:08,4.25,14156,EIRE,-4.25,4.25,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,12/02/2010 17:08,3.25,14156,EIRE,-3.25,3.25,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,12/02/2010 17:09,1.25,16995,United Kingdom,-1.25,1.25,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536820,22877,NUMBER TILE COTTAGE GARDEN 9,-1,12/02/2010 17:14,1.95,18168,United Kingdom,-1.95,1.95,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536820,22869,NUMBER TILE COTTAGE GARDEN 1,-1,12/02/2010 17:14,1.95,18168,United Kingdom,-1.95,1.95,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536820,22878,NUMBER TILE COTTAGE GARDEN No,-1,12/02/2010 17:14,2.1,18168,United Kingdom,-2.1,2.1,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536820,21843,RED RETROSPOT CAKE STAND,-1,12/02/2010 17:14,10.95,18168,United Kingdom,-10.95,10.95,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536822,22847,BREAD BIN DINER STYLE IVORY,-2,12/02/2010 17:19,16.95,14625,United Kingdom,-33.9,33.9,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,12/02/2010 17:19,3.75,14625,United Kingdom,-3.75,3.75,CANCELLATION,0,1,0,0,0,1,2010,12,2,Thursday,4
