review_id,product_id,user_id,review_date,year,month,star_rating,sentiment,verified_purchase,is_fake_review,review_length_words,has_title,title_word_count,num_images_attached,helpful_votes,total_votes,helpful_ratio,days_since_purchase,reviewer_review_count,is_top_reviewer,is_early_review,exclamation_marks,all_caps_ratio,readability_score,category,price_usd,price_tier,brand_tier
R00000001,P000873,U009862,2024-01-21,2024,1,5,positive,1,0,34,1,3,0,18,19,0.947,7,38,1,0,1,0.001,49.2,Automotive,91.13,mid,mid
R00000002,P002733,U037196,2024-10-07,2024,10,4,positive,1,0,62,1,11,0,1,2,0.5,7,6,0,0,0,0.073,81.4,Books,14.12,budget,premium
R00000003,P002589,U034741,2024-03-01,2024,3,5,positive,1,0,104,0,0,0,2,2,1.0,21,38,1,0,1,0.015,68.2,Home & Kitchen,91.03,mid,budget
R00000004,P001303,U037748,2024-03-23,2024,3,5,positive,1,0,92,1,10,0,32,41,0.78,30,42,1,0,2,0.078,97.5,Beauty,46.51,low,mid
R00000005,P002439,U035906,2022-01-28,2022,1,3,neutral,1,1,110,1,6,5,8,12,0.667,15,44,1,0,6,0.323,41.4,Home & Kitchen,49.67,low,premium
R00000006,P003020,U016482,2022-09-19,2022,9,5,positive,1,0,183,1,9,0,16,21,0.762,7,43,1,0,2,0.021,79.6,Clothing,39.54,low,budget
R00000007,P002187,U015635,2022-08-24,2022,8,2,negative,0,0,70,1,5,0,2,2,1.0,4,15,0,0,0,0.031,49.7,Toys & Games,41.63,low,mid
R00000008,P001124,U035121,2023-12-18,2023,12,5,positive,1,0,43,1,7,4,0,0,0.0,15,45,1,0,0,0.029,52.7,Electronics,310.69,premium,budget
R00000009,P004771,U004170,2021-11-05,2021,11,5,positive,0,0,47,0,0,0,4,5,0.8,37,1,0,0,0,0.069,73.4,Sports & Outdoors,90.28,mid,mid
R00000010,P004017,U031903,2021-11-21,2021,11,4,positive,0,0,80,1,10,0,6,7,0.857,8,18,0,0,0,0.038,55.3,Clothing,96.38,mid,premium
R00000011,P001073,U029503,2024-03-05,2024,3,3,neutral,1,0,78,1,6,5,6,6,1.0,43,24,0,0,0,0.074,65.4,Home & Kitchen,83.48,mid,premium
R00000012,P002392,U030846,2020-09-23,2020,9,5,positive,1,0,48,1,9,0,8,9,0.889,12,45,1,0,2,0.058,52.9,Beauty,39.33,low,mid
R00000013,P001899,U007787,2022-02-09,2022,2,4,positive,1,0,196,1,9,0,22,24,0.917,5,46,1,0,0,0.027,74.9,Electronics,174.77,high,budget
R00000014,P004982,U030422,2021-07-17,2021,7,5,positive,0,0,274,1,11,0,2,2,1.0,21,31,1,0,1,0.063,86.7,Clothing,49.27,low,premium
R00000015,P003609,U021562,2024-06-17,2024,6,4,positive,1,0,44,1,7,3,4,5,0.8,15,34,1,0,0,0.077,88.5,Clothing,36.47,low,budget
R00000016,P003250,U004133,2022-02-10,2022,2,2,negative,1,0,39,1,4,2,7,10,0.7,20,17,0,0,0,0.078,65.8,Home & Kitchen,92.15,mid,premium
R00000017,P000746,U003189,2023-11-14,2023,11,1,negative,0,0,72,1,9,0,0,0,0.0,6,15,0,0,0,0.061,79.7,Books,13.46,budget,mid
R00000018,P000961,U014669,2022-03-08,2022,3,1,negative,0,0,46,1,4,5,15,15,1.0,116,18,0,0,0,0.012,75.6,Books,7.65,budget,premium
R00000019,P004661,U032707,2023-11-27,2023,11,4,positive,1,0,72,1,9,0,1,1,1.0,8,22,0,0,0,0.064,64.3,Beauty,35.68,low,mid
R00000020,P002258,U032600,2023-02-06,2023,2,5,positive,0,0,53,0,0,0,2,2,1.0,21,44,1,0,0,0.066,89.9,Toys & Games,20.15,low,mid
R00000021,P000072,U025527,2023-06-22,2023,6,5,positive,0,0,49,1,8,0,37,42,0.881,6,38,1,0,1,0.058,97.4,Home & Kitchen,108.34,high,mid
R00000022,P002491,U018168,2023-04-03,2023,4,4,positive,0,0,83,1,5,0,31,35,0.886,44,21,0,0,0,0.017,53.3,Food & Grocery,32.45,low,budget
R00000023,P003092,U025537,2023-05-30,2023,5,2,negative,0,0,78,1,8,0,1,1,1.0,7,26,1,0,0,0.027,59.1,Food & Grocery,23.02,low,premium
R00000024,P001448,U016912,2022-08-22,2022,8,3,neutral,1,0,43,1,5,3,12,13,0.923,13,1,0,0,0,0.068,64.9,Books,16.73,budget,premium
R00000025,P002139,U025360,2024-12-03,2024,12,4,positive,0,0,9,1,10,0,48,56,0.857,75,36,1,0,0,0.033,98.6,Toys & Games,42.89,low,mid
R00000026,P001379,U024187,2023-07-10,2023,7,5,positive,1,0,93,0,0,0,1,1,1.0,1,12,0,0,2,0.035,62.0,Sports & Outdoors,65.48,mid,premium
R00000027,P002225,U017173,2022-12-02,2022,12,1,negative,1,0,40,1,5,0,1,1,1.0,10,6,0,0,0,0.031,64.1,Health,70.56,mid,mid
R00000028,P004922,U017762,2021-04-05,2021,4,4,positive,1,0,47,0,0,0,1,1,1.0,8,18,0,0,0,0.053,48.9,Electronics,183.81,high,mid
R00000029,P002305,U009902,2021-11-04,2021,11,5,positive,1,0,32,1,8,0,45,50,0.9,15,28,1,0,0,0.059,71.8,Home & Kitchen,63.99,mid,mid
R00000030,P004035,U037173,2022-08-21,2022,8,1,negative,0,0,48,0,0,0,14,14,1.0,11,27,1,0,0,0.071,88.0,Electronics,251.83,premium,budget
R00000031,P000651,U012470,2024-05-28,2024,5,1,negative,0,0,201,1,8,0,7,8,0.875,2,8,0,0,0,0.067,52.9,Home & Kitchen,53.78,mid,premium
R00000032,P003956,U016923,2021-03-12,2021,3,4,positive,1,1,48,1,3,3,0,0,0.0,83,45,1,0,3,0.255,77.8,Sports & Outdoors,32.46,low,budget
R00000033,P002540,U005947,2020-12-06,2020,12,1,negative,1,0,110,1,5,0,2,2,1.0,19,13,0,0,0,0.061,60.3,Books,15.09,budget,budget
R00000034,P001838,U031802,2024-11-14,2024,11,4,positive,1,0,38,1,7,0,1,2,0.5,10,38,1,0,0,0.045,92.8,Home & Kitchen,42.3,low,budget
R00000035,P002881,U023190,2023-12-07,2023,12,5,positive,1,0,35,1,6,0,1,1,1.0,24,3,0,0,0,0.012,83.3,Electronics,57.9,mid,budget
R00000036,P001758,U038060,2024-06-03,2024,6,4,positive,0,0,102,1,4,0,33,41,0.805,4,16,0,0,0,0.035,68.9,Automotive,61.84,mid,premium
R00000037,P004050,U028968,2023-03-24,2023,3,4,positive,1,0,66,1,9,0,6,6,1.0,22,23,0,0,0,0.053,66.2,Beauty,23.46,low,budget
R00000038,P003951,U033068,2024-03-17,2024,3,1,negative,0,0,84,1,3,0,6,6,1.0,19,46,1,0,0,0.075,55.6,Home & Kitchen,82.95,mid,premium
R00000039,P001156,U010758,2024-12-21,2024,12,3,neutral,0,0,33,1,3,0,2,2,1.0,2,22,0,0,0,0.039,78.0,Electronics,154.37,high,mid
R00000040,P002171,U021518,2024-05-03,2024,5,4,positive,0,0,105,1,6,0,3,4,0.75,5,42,1,0,0,0.071,66.6,Home & Kitchen,100.06,high,budget
R00000041,P000703,U003387,2020-06-07,2020,6,4,positive,1,0,117,1,3,0,13,17,0.765,3,31,1,0,0,0.053,77.9,Electronics,248.28,high,mid
R00000042,P000026,U026544,2024-05-18,2024,5,5,positive,1,0,95,0,0,0,6,6,1.0,3,42,1,0,1,0.013,73.2,Clothing,159.24,high,budget
R00000043,P001479,U011920,2020-08-23,2020,8,3,neutral,0,0,30,1,11,3,1,1,1.0,25,24,0,0,0,0.013,94.1,Books,27.96,low,mid
R00000044,P002807,U027935,2024-07-28,2024,7,1,negative,1,0,113,0,0,0,105,126,0.833,3,14,0,0,0,0.036,49.3,Clothing,18.08,budget,mid
R00000045,P003803,U032797,2023-09-22,2023,9,4,positive,1,0,51,1,5,0,9,11,0.818,11,6,0,0,0,0.003,56.5,Clothing,68.32,mid,budget
R00000046,P004750,U005861,2020-03-25,2020,3,4,positive,0,0,35,1,10,1,8,10,0.8,16,31,1,0,0,0.071,68.0,Electronics,380.64,premium,premium
R00000047,P002126,U001886,2023-12-21,2023,12,4,positive,1,0,22,1,4,0,5,5,1.0,36,10,0,0,0,0.005,58.1,Home & Kitchen,34.84,low,mid
R00000048,P000016,U009490,2023-01-12,2023,1,4,positive,1,0,114,1,11,0,2,2,1.0,14,30,1,0,0,0.012,58.3,Clothing,26.94,low,mid
R00000049,P003255,U025000,2024-03-30,2024,3,4,positive,0,0,81,0,0,5,18,22,0.818,2,41,1,0,0,0.004,63.5,Electronics,103.89,high,premium
R00000050,P001042,U011782,2023-02-21,2023,2,3,neutral,1,0,36,1,6,0,5,7,0.714,1,30,1,0,0,0.031,86.4,Sports & Outdoors,56.2,mid,mid
R00000051,P002878,U017365,2024-01-31,2024,1,2,negative,1,0,16,1,3,0,3,3,1.0,20,32,1,0,0,0.061,82.2,Home & Kitchen,75.38,mid,budget
R00000052,P002271,U022752,2021-09-21,2021,9,5,positive,1,0,155,1,7,0,1,1,1.0,37,42,1,0,0,0.066,47.1,Sports & Outdoors,84.38,mid,budget
R00000053,P001389,U016097,2020-04-12,2020,4,5,positive,1,0,97,0,0,4,0,0,0.0,18,3,0,0,0,0.041,66.1,Health,74.92,mid,mid
R00000054,P001491,U039900,2024-10-21,2024,10,4,positive,1,0,100,1,8,0,3,3,1.0,55,40,1,0,0,0.078,58.6,Electronics,486.33,premium,budget
R00000055,P001714,U025808,2024-05-28,2024,5,2,negative,1,0,29,1,9,0,0,0,0.0,2,3,0,0,0,0.03,89.4,Health,60.91,mid,budget
R00000056,P000883,U019912,2021-07-06,2021,7,1,negative,1,1,70,1,4,0,4,5,0.8,6,31,1,0,2,0.277,75.7,Food & Grocery,30.9,low,mid
R00000057,P003531,U031627,2023-05-06,2023,5,3,neutral,1,0,40,1,9,0,1,1,1.0,31,34,1,0,0,0.042,49.4,Electronics,175.52,high,mid
R00000058,P001981,U039649,2020-06-19,2020,6,4,positive,1,0,44,1,11,0,5,6,0.833,2,46,1,0,0,0.026,64.1,Health,50.63,mid,budget
R00000059,P003593,U032586,2024-12-31,2024,12,5,positive,1,0,31,1,7,0,1,1,1.0,10,7,0,0,1,0.048,77.3,Toys & Games,23.53,low,budget
R00000060,P002913,U038320,2024-08-25,2024,8,4,positive,1,0,27,1,9,1,1,1,1.0,31,31,1,0,0,0.068,67.9,Books,7.1,budget,mid
R00000061,P001143,U015030,2023-06-12,2023,6,3,neutral,1,0,66,1,9,0,0,0,0.0,15,34,1,0,0,0.028,45.4,Toys & Games,11.48,budget,budget
R00000062,P001605,U014929,2020-02-18,2020,2,2,negative,1,0,98,1,6,0,3,3,1.0,17,42,1,0,0,0.009,61.8,Clothing,126.6,high,premium
R00000063,P004623,U038818,2024-06-13,2024,6,5,positive,1,0,72,1,10,0,0,0,0.0,1,42,1,0,0,0.059,64.9,Sports & Outdoors,41.32,low,mid
R00000064,P002122,U030780,2021-11-24,2021,11,3,neutral,1,0,53,1,8,0,1,2,0.5,2,15,0,0,0,0.047,50.3,Electronics,77.01,mid,premium
R00000065,P000572,U006640,2024-01-17,2024,1,1,negative,1,0,66,1,8,0,5,6,0.833,6,16,0,0,0,0.044,95.3,Health,33.71,low,premium
R00000066,P003219,U009052,2023-10-29,2023,10,5,positive,1,0,40,0,0,0,0,0,0.0,22,9,0,0,2,0.052,73.3,Clothing,32.65,low,mid
R00000067,P001714,U019111,2023-09-02,2023,9,3,neutral,1,0,155,1,7,2,0,0,0.0,15,26,1,0,0,0.056,68.8,Health,60.91,mid,budget
R00000068,P002337,U030342,2023-02-27,2023,2,1,negative,1,0,171,1,8,3,3,3,1.0,24,32,1,0,0,0.037,29.5,Health,15.64,budget,budget
R00000069,P001040,U037629,2024-06-12,2024,6,4,positive,1,0,32,1,8,0,4,4,1.0,12,16,0,0,0,0.03,51.3,Electronics,242.62,high,premium
R00000070,P000060,U005494,2024-02-02,2024,2,4,positive,1,0,61,1,10,1,5,6,0.833,30,32,1,0,0,0.06,48.9,Electronics,281.51,premium,budget
R00000071,P002926,U022109,2021-04-15,2021,4,5,positive,0,0,29,1,5,0,3,3,1.0,18,30,1,0,1,0.015,96.1,Sports & Outdoors,28.67,low,budget
R00000072,P002184,U001258,2023-11-25,2023,11,5,positive,1,0,138,1,3,3,2,2,1.0,21,30,1,0,2,0.032,60.6,Electronics,269.29,premium,mid
R00000073,P002038,U003170,2023-04-12,2023,4,3,neutral,1,0,48,1,10,2,9,11,0.818,33,30,1,0,0,0.015,48.3,Electronics,160.49,high,mid
R00000074,P004618,U021668,2023-01-14,2023,1,5,positive,1,0,36,1,5,0,11,12,0.917,21,28,1,0,1,0.033,80.2,Books,15.5,budget,budget
R00000075,P001303,U008647,2022-12-23,2022,12,4,positive,1,0,34,1,4,0,28,32,0.875,26,2,0,0,0,0.027,73.9,Beauty,46.51,low,mid
R00000076,P002934,U004940,2023-05-02,2023,5,4,positive,1,0,358,1,6,0,3,3,1.0,2,3,0,0,0,0.07,45.2,Health,21.16,low,mid
R00000077,P004135,U024504,2022-07-18,2022,7,2,negative,1,0,53,1,10,0,1,1,1.0,24,34,1,0,0,0.022,79.4,Books,26.67,low,budget
R00000078,P002286,U027318,2023-02-25,2023,2,3,neutral,1,0,65,1,10,3,3,3,1.0,19,18,0,0,0,0.026,93.4,Electronics,187.38,high,mid
R00000079,P003772,U021274,2022-07-13,2022,7,5,positive,1,0,59,1,9,0,4,4,1.0,12,13,0,0,1,0.053,73.3,Automotive,70.63,mid,premium
R00000080,P002802,U006725,2024-07-05,2024,7,3,neutral,0,0,31,0,0,4,14,15,0.933,6,35,1,0,0,0.014,46.7,Books,15.15,budget,budget
R00000081,P001759,U028632,2021-02-02,2021,2,2,negative,1,0,73,1,11,0,12,16,0.75,14,15,0,0,0,0.061,74.0,Health,42.81,low,mid
R00000082,P004535,U013128,2024-02-06,2024,2,3,neutral,1,0,22,1,11,0,0,0,0.0,8,33,1,0,0,0.001,56.6,Books,7.24,budget,premium
R00000083,P001892,U028828,2023-11-16,2023,11,2,negative,1,0,70,1,8,0,1,1,1.0,2,13,0,0,0,0.036,79.7,Beauty,38.21,low,budget
R00000084,P002303,U018373,2024-11-10,2024,11,5,positive,1,0,19,1,9,0,1,1,1.0,56,16,0,0,1,0.051,84.3,Home & Kitchen,67.37,mid,premium
R00000085,P003242,U034599,2024-01-06,2024,1,3,neutral,1,0,32,1,5,0,1,2,0.5,1,32,1,0,0,0.08,93.9,Books,20.94,low,mid
R00000086,P002969,U013704,2024-11-18,2024,11,4,positive,1,0,28,1,10,0,27,31,0.871,4,21,0,0,0,0.02,76.9,Books,22.82,low,mid
R00000087,P002573,U028563,2024-02-02,2024,2,3,neutral,0,0,35,1,10,0,0,0,0.0,33,31,1,0,0,0.018,73.4,Beauty,14.42,budget,budget
R00000088,P003457,U030569,2024-11-16,2024,11,5,positive,1,0,51,1,9,0,1,1,1.0,17,49,1,0,1,0.07,91.0,Food & Grocery,20.91,low,budget
R00000089,P003473,U030619,2020-10-01,2020,10,5,positive,1,0,51,1,3,0,7,8,0.875,1,38,1,0,2,0.035,59.3,Books,14.73,budget,mid
R00000090,P002654,U024450,2024-05-06,2024,5,4,positive,0,0,70,1,11,0,20,22,0.909,1,29,1,0,0,0.076,80.2,Beauty,11.4,budget,mid
R00000091,P002535,U006159,2023-05-28,2023,5,4,positive,1,0,73,1,7,0,10,16,0.625,30,21,0,0,0,0.019,69.2,Food & Grocery,38.29,low,premium
R00000092,P000834,U028317,2022-11-13,2022,11,4,positive,1,0,50,1,3,0,4,4,1.0,4,11,0,0,0,0.019,88.4,Beauty,35.23,low,mid
R00000093,P003557,U001808,2024-06-13,2024,6,1,negative,0,0,41,1,5,0,10,11,0.909,3,40,1,0,0,0.079,96.7,Books,29.99,low,premium
R00000094,P004957,U015744,2020-12-30,2020,12,3,neutral,1,0,36,1,8,4,10,12,0.833,14,21,0,0,0,0.027,81.0,Health,16.39,budget,mid
R00000095,P001449,U028274,2024-01-23,2024,1,5,positive,0,0,70,1,7,2,5,6,0.833,5,41,1,0,0,0.022,65.5,Sports & Outdoors,50.06,mid,mid
R00000096,P001009,U032594,2024-12-01,2024,12,4,positive,1,0,99,1,8,0,3,3,1.0,5,9,0,0,0,0.053,67.6,Beauty,91.57,mid,mid
R00000097,P004702,U004447,2021-06-12,2021,6,3,neutral,1,0,51,1,5,0,2,2,1.0,25,5,0,0,0,0.052,47.0,Home & Kitchen,29.39,low,mid
R00000098,P002068,U027581,2024-02-10,2024,2,5,positive,1,0,53,0,0,5,1,1,1.0,12,34,1,0,0,0.062,66.8,Automotive,242.45,high,premium
R00000099,P003466,U005283,2024-02-12,2024,2,3,neutral,1,0,27,1,9,5,0,0,0.0,12,44,1,0,0,0.045,54.6,Toys & Games,10.73,budget,mid
R00000100,P002365,U004778,2023-02-11,2023,2,2,negative,1,0,153,1,9,0,1,1,1.0,32,23,0,0,0,0.075,91.2,Sports & Outdoors,15.95,budget,budget
R00000101,P002816,U015000,2024-04-10,2024,4,5,positive,0,0,81,0,0,0,4,4,1.0,8,26,1,0,1,0.071,80.7,Books,29.41,low,mid
R00000102,P001670,U010441,2023-05-03,2023,5,4,positive,0,0,87,1,4,0,3,3,1.0,76,12,0,0,0,0.007,79.2,Health,6.94,budget,mid
R00000103,P003859,U011485,2022-12-04,2022,12,3,neutral,1,0,131,1,6,0,3,4,0.75,16,4,0,0,0,0.065,22.6,Beauty,68.44,mid,budget
R00000104,P002526,U012927,2024-08-22,2024,8,3,neutral,1,0,50,1,9,0,0,0,0.0,15,25,1,0,0,0.069,62.9,Electronics,995.29,premium,budget
R00000105,P002416,U033675,2022-07-16,2022,7,1,negative,1,0,71,1,9,0,9,10,0.9,3,31,1,0,0,0.031,53.7,Electronics,110.6,high,budget
R00000106,P002808,U011244,2024-09-03,2024,9,5,positive,1,1,82,1,9,0,6,6,1.0,12,21,0,0,5,0.105,75.8,Beauty,32.42,low,mid
R00000107,P004692,U001554,2023-08-14,2023,8,3,neutral,1,0,42,1,3,3,6,6,1.0,5,2,0,0,0,0.067,91.7,Clothing,78.27,mid,mid
