seller_id,n_products,avg_product_rating,total_reviews,avg_star,fake_rate,verified_rate,years_on_platform,ships_internationally,avg_shipping_days,return_rate_pct
S0001,8,3.11,148,3.22,0.027,0.703,4,1,4.0,13.4
S0002,14,3.31,295,3.33,0.0576,0.766,1,1,3.8,4.8
S0003,8,3.19,212,3.56,0.0472,0.802,1,0,2.1,4.8
S0004,8,3.29,196,3.43,0.0408,0.699,5,1,3.9,7.3
S0005,10,3.45,195,3.76,0.0564,0.754,3,0,6.5,5.8
S0006,11,3.38,230,3.99,0.1043,0.722,2,1,6.1,5.7
S0007,10,3.58,217,4.14,0.0737,0.756,2,1,4.5,15.7
S0008,9,3.25,193,3.35,0.057,0.736,7,1,11.9,3.0
S0009,10,3.38,196,3.76,0.0357,0.73,2,1,2.3,3.4
S0010,10,3.14,153,3.58,0.0784,0.745,8,0,2.9,4.6
S0011,15,3.33,257,3.58,0.0661,0.786,7,0,7.9,4.8
S0012,6,3.79,140,4.17,0.0929,0.75,9,1,3.3,15.3
S0013,14,3.47,221,3.72,0.0543,0.765,8,0,4.7,3.4
S0014,7,3.32,127,3.59,0.0551,0.709,4,0,4.9,7.9
S0015,16,3.31,336,3.43,0.0655,0.753,5,0,6.6,6.9
S0016,14,2.76,288,3.15,0.0625,0.698,4,0,3.8,4.2
S0017,10,3.65,178,4.13,0.0674,0.669,4,0,4.5,9.1
S0018,14,3.08,280,3.26,0.0393,0.711,3,0,2.7,4.4
S0019,10,3.52,182,3.91,0.1044,0.747,7,0,6.7,12.6
S0020,8,3.62,157,4.1,0.0764,0.764,4,0,1.8,8.7
S0021,10,2.99,187,3.3,0.0695,0.759,6,1,5.9,6.3
S0022,10,3.42,233,3.6,0.0858,0.717,5,0,4.4,7.4
S0023,10,3.15,178,3.35,0.0393,0.775,4,1,4.1,4.7
S0024,7,3.51,169,3.7,0.0533,0.74,4,1,8.1,3.7
S0025,10,3.0,209,3.59,0.067,0.746,8,1,3.7,4.7
S0026,12,2.97,197,3.38,0.066,0.741,6,0,7.6,6.7
S0027,7,3.31,138,3.51,0.0725,0.746,7,1,3.9,5.9
S0028,13,3.58,293,3.97,0.0444,0.737,9,0,8.7,4.8
S0029,8,3.22,208,3.46,0.0913,0.755,3,0,4.9,3.6
S0030,14,3.06,261,3.27,0.0766,0.77,2,1,7.4,2.0
S0031,11,3.14,252,3.65,0.0794,0.75,1,1,3.5,4.8
S0032,9,3.0,158,3.72,0.0886,0.703,5,0,2.5,7.5
S0033,4,3.43,85,3.61,0.1412,0.753,9,1,2.5,5.5
S0034,6,3.42,139,3.69,0.0576,0.734,2,0,4.0,4.5
S0035,14,3.03,263,3.64,0.0684,0.703,6,0,6.5,12.7
S0036,11,3.31,271,3.64,0.0406,0.753,6,1,2.1,6.2
S0037,9,3.2,184,3.69,0.0489,0.755,7,0,8.2,3.6
S0038,14,3.29,242,3.55,0.0785,0.694,3,0,3.6,4.0
S0039,6,3.15,124,3.17,0.0323,0.734,8,1,2.7,7.8
S0040,7,3.6,137,3.98,0.0949,0.65,5,0,6.9,14.7
S0041,9,3.34,177,3.63,0.0678,0.661,2,0,4.3,7.7
S0042,14,2.88,312,3.21,0.0417,0.731,8,1,2.5,6.2
S0043,13,3.39,247,3.67,0.0567,0.761,7,1,2.8,8.3
S0044,12,3.29,260,3.63,0.0269,0.758,2,0,5.2,4.8
S0045,11,3.37,196,3.51,0.0561,0.673,8,0,5.5,6.9
S0046,9,3.27,235,3.77,0.0638,0.745,7,0,1.7,8.8
S0047,7,3.0,129,3.28,0.0388,0.752,4,1,5.5,7.1
S0048,15,3.39,295,3.79,0.0576,0.725,7,1,2.9,11.2
S0049,6,2.98,113,3.48,0.0708,0.699,5,0,3.3,18.1
S0050,2,3.26,43,3.77,0.0698,0.791,5,0,7.8,3.0
S0051,9,3.27,204,3.58,0.0539,0.735,8,0,3.2,5.6
S0052,12,3.15,268,3.29,0.0373,0.776,2,1,4.3,4.2
S0053,11,2.96,219,3.37,0.0685,0.74,4,0,6.0,2.4
S0054,9,2.92,188,3.31,0.0638,0.766,8,0,6.0,6.0
S0055,11,3.88,208,4.15,0.0529,0.712,8,0,4.8,4.2
S0056,7,3.05,119,3.76,0.0252,0.773,1,0,5.8,2.9
S0057,14,3.56,243,4.04,0.0576,0.745,3,1,4.2,2.4
S0058,11,3.29,202,3.4,0.0693,0.728,8,1,9.4,5.9
S0059,12,2.99,210,3.6,0.0619,0.748,1,0,6.5,8.6
S0060,7,3.16,131,3.71,0.0687,0.702,1,1,4.4,16.9
S0061,8,3.01,150,3.26,0.0533,0.713,9,1,5.0,8.2
S0062,10,3.29,174,3.78,0.0632,0.736,8,0,8.4,7.6
S0063,12,3.06,211,3.43,0.0616,0.744,2,0,12.6,5.6
S0064,10,3.08,242,3.26,0.0661,0.752,2,0,5.2,5.2
S0065,12,3.63,216,3.8,0.0324,0.718,3,1,4.3,9.5
S0066,21,3.14,387,3.3,0.0698,0.796,5,0,4.4,4.4
S0067,9,3.36,181,3.85,0.0331,0.724,7,1,5.4,11.7
S0068,5,3.17,95,3.72,0.0632,0.747,4,1,4.0,10.4
S0069,5,2.91,99,3.06,0.0909,0.717,7,1,5.8,4.5
S0070,6,3.2,101,3.92,0.0693,0.663,3,0,10.2,3.1
S0071,13,3.36,222,3.56,0.0766,0.721,8,1,6.0,3.6
S0072,8,3.63,115,4.2,0.0435,0.748,4,1,2.6,8.5
S0073,8,3.35,179,3.77,0.0503,0.771,8,1,8.0,7.3
S0074,9,3.41,182,3.63,0.0495,0.747,6,0,2.9,4.2
S0075,10,3.63,190,4.16,0.0684,0.737,8,1,2.6,2.4
S0076,11,3.3,274,3.9,0.0657,0.763,4,1,3.0,4.1
S0077,5,3.53,102,3.7,0.049,0.667,4,0,7.6,4.5
S0078,14,3.52,326,4.03,0.092,0.761,4,0,5.3,4.5
S0079,13,3.18,312,3.51,0.0769,0.747,7,0,5.7,7.8
S0080,12,2.93,263,3.19,0.0684,0.779,3,1,3.5,3.1
S0081,12,3.05,211,3.49,0.0616,0.73,7,0,7.2,14.8
S0082,15,3.18,318,3.26,0.0566,0.717,6,1,3.6,4.3
S0083,6,2.94,134,3.34,0.097,0.694,4,0,6.2,4.7
S0084,13,3.12,304,3.58,0.0461,0.737,1,1,5.4,5.7
S0085,6,3.13,82,3.73,0.0854,0.756,1,1,4.5,9.2
S0086,14,3.42,277,3.96,0.0578,0.726,6,1,2.5,5.1
S0087,11,3.01,228,3.36,0.0789,0.724,7,0,3.4,7.6
S0088,6,3.68,112,3.96,0.0536,0.75,3,1,4.3,13.8
S0089,12,3.35,254,3.73,0.0551,0.783,2,1,6.7,6.8
S0090,10,3.39,208,3.51,0.0769,0.764,6,1,7.6,6.9
S0091,13,3.28,207,3.52,0.0386,0.744,4,0,4.4,4.7
S0092,14,3.09,329,3.38,0.0578,0.736,9,0,3.9,6.2
S0093,7,3.28,125,3.57,0.032,0.784,4,1,3.3,7.6
S0094,6,3.28,85,3.41,0.0824,0.8,7,1,7.6,3.9
S0095,7,2.97,154,3.39,0.0519,0.747,2,0,7.3,3.1
S0096,8,3.3,167,3.56,0.0299,0.683,3,1,6.1,6.3
S0097,12,3.3,226,3.74,0.0487,0.757,2,1,4.9,7.0
S0098,5,3.5,99,3.54,0.0505,0.838,9,1,4.6,2.4
S0099,17,3.05,336,3.5,0.0804,0.759,6,1,3.0,2.7
S0100,6,3.26,112,3.29,0.0446,0.723,2,0,2.7,3.9
S0101,20,3.14,398,3.33,0.0603,0.729,7,0,3.4,9.3
S0102,7,3.2,120,3.64,0.0833,0.725,7,1,3.7,3.3
S0103,7,3.06,180,3.37,0.0278,0.761,7,0,1.8,6.9
S0104,12,3.21,269,3.71,0.0483,0.732,2,0,3.3,6.4
S0105,10,3.56,212,4.03,0.0755,0.736,9,0,6.5,5.5
S0106,8,3.75,169,4.1,0.0592,0.728,2,0,2.5,7.1
S0107,15,3.34,237,3.73,0.0886,0.726,9,0,7.0,6.1
S0108,14,3.14,275,3.69,0.0436,0.727,5,1,5.2,3.8
S0109,11,3.04,230,3.26,0.0565,0.761,9,0,6.6,6.6
S0110,14,3.36,276,3.72,0.0761,0.707,2,0,4.3,13.0
S0111,13,2.93,242,3.19,0.0496,0.74,7,0,4.8,3.0
S0112,16,3.21,321,3.51,0.0498,0.745,4,1,5.2,11.3
