review_id,star_rating,sentiment_label,sentiment_score,quality_aspect,shipping_aspect,value_aspect,service_aspect,emotion,is_fake_review,fake_confidence_score,is_sarcastic,subjectivity_score,polarity_score
R00000001,5,positive,1.0,positive,positive,positive,neutral,delight,0,0.206,0,0.507,0.796
R00000002,4,positive,0.701,neutral,neutral,positive,positive,satisfaction,0,0.054,0,0.887,0.441
R00000003,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.329,0,0.837,0.836
R00000004,5,positive,0.96,positive,positive,positive,positive,satisfaction,0,0.418,0,0.799,0.891
R00000005,3,neutral,0.031,neutral,neutral,negative,positive,neutral,1,0.754,0,0.978,0.116
R00000006,5,positive,0.909,positive,positive,positive,positive,satisfaction,0,0.367,0,0.832,0.646
R00000007,2,negative,-0.331,neutral,neutral,negative,negative,disappointment,0,0.189,0,0.509,-0.5
R00000008,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.287,0,0.322,0.903
R00000009,5,positive,0.874,positive,positive,positive,positive,satisfaction,0,0.073,0,0.938,0.823
R00000010,4,positive,0.56,positive,positive,neutral,positive,neutral,0,0.243,0,0.509,0.505
R00000011,3,neutral,0.02,neutral,neutral,negative,negative,neutral,0,0.613,0,0.741,0.032
R00000012,5,positive,0.848,positive,neutral,positive,positive,delight,0,0.335,0,0.445,0.775
R00000013,4,positive,0.336,neutral,positive,neutral,positive,satisfaction,0,0.424,0,0.621,0.406
R00000014,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.475,0,0.653,0.662
R00000015,4,positive,0.508,positive,neutral,positive,positive,neutral,0,0.276,0,0.542,0.29
R00000016,2,negative,-0.486,neutral,neutral,neutral,neutral,frustration,0,0.369,0,0.929,-0.451
R00000017,1,negative,-1.0,negative,negative,neutral,negative,frustration,0,0.194,0,0.854,-0.834
R00000018,1,negative,-0.925,negative,neutral,negative,negative,frustration,0,0.379,0,0.566,-0.731
R00000019,4,positive,0.536,neutral,positive,neutral,neutral,mild_joy,0,0.252,0,0.694,0.38
R00000020,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.176,0,0.421,0.792
R00000021,5,positive,1.0,positive,positive,positive,positive,delight,0,0.254,0,0.801,0.815
R00000022,4,positive,0.542,positive,neutral,neutral,positive,satisfaction,0,0.335,0,0.578,0.383
R00000023,2,negative,-0.549,neutral,neutral,negative,negative,disappointment,0,0.355,0,0.753,-0.264
